Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,204.5712890625,207.14982656076893,204.15960134533572,207.14982656076893,6630334,RELIANCE.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,206.84646606445312,208.23323248887783,203.5636971480745,204.54960976520962,8877298,RELIANCE.NS,2015-08-19,2015-33,2015-08,2.275177001953125,up
2015-08-20,198.54747009277344,208.00572833172717,197.9949273876215,208.00572833172717,19008087,RELIANCE.NS,2015-08-20,2015-33,2015-08,-8.298995971679688,down
2015-08-21,196.73817443847656,197.59408047605146,194.36548076434084,197.18237828844065,20050521,RELIANCE.NS,2015-08-21,2015-33,2015-08,-1.809295654296875,down
2015-08-24,179.75015258789062,190.68186357670845,177.2474521882558,190.68186357670845,35635706,RELIANCE.NS,2015-08-24,2015-34,2015-08,-16.988021850585938,down
2015-08-25,183.78045654296875,186.48901500939655,178.3742024257681,182.1986656886669,49504268,RELIANCE.NS,2015-08-25,2015-34,2015-08,4.030303955078125,up
2015-08-26,184.91807556152344,189.5551096965712,182.01450685907002,183.70463674068475,18955515,RELIANCE.NS,2015-08-26,2015-34,2015-08,1.1376190185546875,up
2015-08-27,188.33084106445312,190.95271427782035,185.7089678510859,187.82163386495085,26997546,RELIANCE.NS,2015-08-27,2015-34,2015-08,3.4127655029296875,up
2015-08-28,189.03504943847656,191.3318912652094,187.66993632773065,189.5984260085142,10770215,RELIANCE.NS,2015-08-28,2015-34,2015-08,0.7042083740234375,up
2015-08-31,185.45977783203125,189.13256689851062,185.00474009842287,189.13256689851062,20708942,RELIANCE.NS,2015-08-31,2015-35,2015-08,-3.5752716064453125,down
2015-09-01,181.9820098876953,185.0264192093235,180.9527615964536,185.0264192093235,21645696,RELIANCE.NS,2015-09-01,2015-35,2015-09,-3.4777679443359375,down
2015-09-02,184.08383178710938,185.71979218121754,182.5778780420635,184.18133677390608,19652369,RELIANCE.NS,2015-09-02,2015-35,2015-09,2.1018218994140625,up
2015-09-03,185.0155792236328,186.5106991151108,182.96791659665965,185.05891477430148,11659978,RELIANCE.NS,2015-09-03,2015-35,2015-09,0.9317474365234375,up
2015-09-04,181.12606811523438,184.11630740753597,178.7858764407692,184.11630740753597,16199949,RELIANCE.NS,2015-09-04,2015-35,2015-09,-3.8895111083984375,down
2015-09-07,180.54103088378906,182.88122264990997,179.34927446033484,181.63528233041902,10234633,RELIANCE.NS,2015-09-07,2015-36,2015-09,-0.5850372314453125,down
2015-09-08,183.8779754638672,184.82055260877092,178.78590367545448,181.14776348148376,12900468,RELIANCE.NS,2015-09-08,2015-36,2015-09,3.336944580078125,up
2015-09-09,189.39256286621094,190.40014322748073,184.28965774164683,186.56484620151465,17340694,RELIANCE.NS,2015-09-09,2015-36,2015-09,5.51458740234375,up
2015-09-10,187.86492919921875,188.62333012436085,185.37306317505684,186.5648339910706,11074406,RELIANCE.NS,2015-09-10,2015-36,2015-09,-1.5276336669921875,down
2015-09-11,186.55401611328125,189.83677053678613,185.52476795831817,188.9483629074899,10634833,RELIANCE.NS,2015-09-11,2015-36,2015-09,-1.3109130859375,down
2015-09-14,187.1824188232422,187.58328714040942,184.59304729022588,186.72738106652122,7964072,RELIANCE.NS,2015-09-14,2015-37,2015-09,0.6284027099609375,up
2015-09-15,187.86492919921875,188.51499126775965,185.39473094637708,186.78151170427302,11509788,RELIANCE.NS,2015-09-15,2015-37,2015-09,0.6825103759765625,up
2015-09-16,189.06756591796875,190.10764804640357,187.47494106283227,188.97006093051598,13424811,RELIANCE.NS,2015-09-16,2015-37,2015-09,1.20263671875,up
2015-09-18,194.018798828125,194.90719207485822,190.064314142537,190.34599521984015,34261453,RELIANCE.NS,2015-09-18,2015-37,2015-09,4.95123291015625,up
2015-09-21,190.27015686035156,192.4586599979373,189.82595300742656,190.68185905070663,12732187,RELIANCE.NS,2015-09-21,2015-38,2015-09,-3.7486419677734375,down
2015-09-22,183.7262725830078,191.74357955227944,182.98955387993223,190.68182980888008,15745524,RELIANCE.NS,2015-09-22,2015-38,2015-09,-6.54388427734375,down
2015-09-23,184.25718688964844,185.65480185835267,182.0145141783895,182.66456193369393,15221260,RELIANCE.NS,2015-09-23,2015-38,2015-09,0.530914306640625,up
2015-09-24,181.44027709960938,183.7479528023893,180.87690053215917,183.7479528023893,29076982,RELIANCE.NS,2015-09-24,2015-38,2015-09,-2.8169097900390625,down
2015-09-28,180.76853942871094,182.2094896773973,179.56594913935103,181.9711441825383,11624639,RELIANCE.NS,2015-09-28,2015-39,2015-09,-0.6717376708984375,down
2015-09-29,182.177001953125,184.23549833313385,179.00258628744294,179.8476583991511,15853471,RELIANCE.NS,2015-09-29,2015-39,2015-09,1.4084625244140625,up
2015-09-30,186.8465576171875,187.388266488164,181.68948222254548,184.39804104189815,17292020,RELIANCE.NS,2015-09-30,2015-39,2015-09,4.6695556640625,up
2015-10-01,187.36660766601562,189.37093492375507,186.04484432203373,189.37093492375507,8663393,RELIANCE.NS,2015-10-01,2015-39,2015-10,0.520050048828125,up
2015-10-05,192.41531372070312,192.84868366194448,186.74903175274474,186.95489006868033,16015412,RELIANCE.NS,2015-10-05,2015-40,2015-10,5.0487060546875,up
2015-10-06,194.593017578125,195.12389255692386,191.92779433161317,194.07297648737367,12330294,RELIANCE.NS,2015-10-06,2015-40,2015-10,2.177703857421875,up
2015-10-07,198.00576782226562,198.926677182794,193.0653849737483,193.8671071080723,11515191,RELIANCE.NS,2015-10-07,2015-40,2015-10,3.412750244140625,up
2015-10-08,192.65367126464844,198.24411595357785,192.03612525357676,198.24411595357785,10753149,RELIANCE.NS,2015-10-08,2015-40,2015-10,-5.3520965576171875,down
2015-10-09,192.2744903564453,196.19647348713048,191.00689654478074,193.72627472665081,9327873,RELIANCE.NS,2015-10-09,2015-40,2015-10,-0.379180908203125,down
2015-10-12,193.22789001464844,195.3622236602024,192.41531954217825,192.41531954217825,6212395,RELIANCE.NS,2015-10-12,2015-41,2015-10,0.953399658203125,up
2015-10-13,193.6287384033203,194.21378271899326,191.31021444842793,191.7760860166331,6162561,RELIANCE.NS,2015-10-13,2015-41,2015-10,0.400848388671875,up
2015-10-14,195.65475463867188,196.09895848380975,193.7045970607862,194.10546535659054,8002587,RELIANCE.NS,2015-10-14,2015-41,2015-10,2.0260162353515625,up
2015-10-15,195.8172607421875,197.39905166844528,195.0372063985044,196.68400064803,9048478,RELIANCE.NS,2015-10-15,2015-41,2015-10,0.162506103515625,up
2015-10-16,198.2224578857422,198.2224578857422,195.81726257991463,195.99060477692237,15246935,RELIANCE.NS,2015-10-16,2015-41,2015-10,2.4051971435546875,up
2015-10-19,208.7749481201172,209.20830357161574,203.89955464608153,203.89955464608153,33505855,RELIANCE.NS,2015-10-19,2015-42,2015-10,10.552490234375,up
2015-10-20,207.30148315429688,209.4683181333868,206.4997466905109,209.09995155831214,18091895,RELIANCE.NS,2015-10-20,2015-42,2015-10,-1.4734649658203125,down
2015-10-21,206.9331512451172,211.22348637959888,206.49978128380675,207.0414901193275,14404450,RELIANCE.NS,2015-10-21,2015-42,2015-10,-0.3683319091796875,down
2015-10-23,207.073974609375,210.84428283498337,203.93206073101337,208.8724576299984,12153422,RELIANCE.NS,2015-10-23,2015-42,2015-10,0.1408233642578125,up
2015-10-26,204.30044555664062,208.66661793036457,203.96458058001983,208.42827240561186,10938775,RELIANCE.NS,2015-10-26,2015-43,2015-10,-2.773529052734375,down
2015-10-27,203.5853729248047,205.4705271397162,203.1195013146315,203.4228646181636,11601798,RELIANCE.NS,2015-10-27,2015-43,2015-10,-0.7150726318359375,down
2015-10-28,203.02198791503906,204.7446337519029,201.49436650252918,203.01115402837874,11958727,RELIANCE.NS,2015-10-28,2015-43,2015-10,-0.563385009765625,down
2015-10-29,203.8995819091797,204.76632185700262,202.58863809970921,202.8161642066358,13280382,RELIANCE.NS,2015-10-29,2015-43,2015-10,0.877593994140625,up
2015-10-30,205.35134887695312,207.1281497086737,203.70455468706052,204.1379101598204,13366359,RELIANCE.NS,2015-10-30,2015-43,2015-10,1.4517669677734375,up
2015-11-02,207.9732208251953,208.34158743976616,204.80963910221067,205.63302896102584,7222044,RELIANCE.NS,2015-11-02,2015-44,2015-11,2.6218719482421875,up
2015-11-03,209.5767059326172,210.28093759040976,208.28744431547034,208.72081430538807,11373522,RELIANCE.NS,2015-11-03,2015-44,2015-11,1.603485107421875,up
2015-11-04,206.1314239501953,211.26684592869807,205.02633845443683,209.75005822789018,10033187,RELIANCE.NS,2015-11-04,2015-44,2015-11,-3.445281982421875,down
2015-11-05,202.94615173339844,206.066397894139,202.16609742544742,205.6330279610692,10767454,RELIANCE.NS,2015-11-05,2015-44,2015-11,-3.185272216796875,down
2015-11-06,206.36976623535156,206.8789733878841,203.22785222431574,203.56370272069833,8367190,RELIANCE.NS,2015-11-06,2015-44,2015-11,3.423614501953125,up
2015-11-09,208.28741455078125,209.09997050934973,200.09675039429194,202.2744339208214,17031699,RELIANCE.NS,2015-11-09,2015-45,2015-11,1.9176483154296875,up
2015-11-10,199.94508361816406,207.90822199595746,198.5474688015308,207.3665131814007,11486238,RELIANCE.NS,2015-11-10,2015-45,2015-11,-8.342330932617188,down
2015-11-13,202.1769561767578,203.3687127909159,198.15746799539858,198.27664076392037,13682323,RELIANCE.NS,2015-11-13,2015-45,2015-11,2.23187255859375,up
2015-11-16,202.44778442382812,204.1162464203342,200.37845414262804,200.64931578292465,15346549,RELIANCE.NS,2015-11-16,2015-46,2015-11,0.2708282470703125,up
2015-11-17,201.02847290039062,203.4445016834442,200.69262245069402,203.26032563038478,8588142,RELIANCE.NS,2015-11-17,2015-46,2015-11,-1.4193115234375,down
2015-11-18,197.61575317382812,201.79774954988338,197.1715493127983,200.99601292959164,11249222,RELIANCE.NS,2015-11-18,2015-46,2015-11,-3.4127197265625,down
