Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,RITES.NS,RITES.NS,RITES.NS,RITES.NS,RITES.NS,,,,,,
Date,,,,,,,,,,,
2018-07-03,61.99330139160156,63.81874816173437,60.94402987486507,60.98714889457931,18520145,RITES.NS,2018-07-03,2018-26,2018-07,,no change
2018-07-04,59.362918853759766,62.28076102049906,58.931712299406264,62.09390283647998,7925442,RITES.NS,2018-07-04,2018-26,2018-07,-2.630382537841797,down
2018-07-05,56.847537994384766,59.19043431393107,56.45945047030616,58.8742136314029,8161322,RITES.NS,2018-07-05,2018-26,2018-07,-2.515380859375,down
2018-07-06,56.67506408691406,58.61549648472984,56.02825145994571,56.056999297043106,4003900,RITES.NS,2018-07-06,2018-26,2018-07,-0.17247390747070312,down
2018-07-09,56.34447479248047,57.78183381533411,56.08574972971965,57.12064998076292,2077962,RITES.NS,2018-07-09,2018-27,2018-07,-0.33058929443359375,down
2018-07-10,57.86807632446289,59.07545821639202,55.985139368029444,56.70381893505655,7331162,RITES.NS,2018-07-10,2018-27,2018-07,1.5236015319824219,up
2018-07-11,57.73869323730469,59.88035999751311,57.4943449033477,57.76744106772692,3546540,RITES.NS,2018-07-11,2018-27,2018-07,-0.12938308715820312,down
2018-07-12,58.888587951660156,59.362913473532906,57.99742160593115,58.0117982635236,2914890,RITES.NS,2018-07-12,2018-27,2018-07,1.1498947143554688,up
2018-07-13,57.55184555053711,59.29104831860839,57.30749171232108,58.787974950352556,1446200,RITES.NS,2018-07-13,2018-27,2018-07,-1.3367424011230469,down
2018-07-16,55.985103607177734,57.89678718316265,55.76949768155332,57.62369109604665,1198197,RITES.NS,2018-07-16,2018-28,2018-07,-1.566741943359375,down
2018-07-17,55.855770111083984,56.51695391731299,55.237705319103604,56.0569994883633,1125320,RITES.NS,2018-07-17,2018-28,2018-07,-0.12933349609375,down
2018-07-18,56.77566909790039,57.75307346025814,55.51079189665711,56.21510007777221,2222447,RITES.NS,2018-07-18,2018-28,2018-07,0.9198989868164062,up
2018-07-19,56.45943832397461,57.59495281868504,55.51078196356666,57.00563607181172,1162900,RITES.NS,2018-07-19,2018-28,2018-07,-0.31623077392578125,down
2018-07-20,56.07135009765625,56.61754783783947,55.58264801077385,56.38757070772348,598402,RITES.NS,2018-07-20,2018-28,2018-07,-0.3880882263183594,down
