Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,RKFORGE.NS,RKFORGE.NS,RKFORGE.NS,RKFORGE.NS,RKFORGE.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,136.54727172851562,139.84514472655965,135.97667615605494,139.83546411063003,320090,RKFORGE.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,133.3944549560547,137.85286539192288,132.92057702000722,137.84319953342415,194905,RKFORGE.NS,2015-08-19,2015-33,2015-08,-3.1528167724609375,down
2015-08-20,132.53370666503906,137.12751239695046,131.14107058643154,133.36542787204544,368105,RKFORGE.NS,2015-08-20,2015-33,2015-08,-0.860748291015625,down
2015-08-21,130.37705993652344,131.5182658411091,126.70201183467428,131.5182658411091,211560,RKFORGE.NS,2015-08-21,2015-33,2015-08,-2.156646728515625,down
2015-08-24,120.29971313476562,127.65947593621854,119.9418770989806,127.65947593621854,802690,RKFORGE.NS,2015-08-24,2015-34,2015-08,-10.077346801757812,down
2015-08-25,120.9283447265625,125.64787436351985,108.31713459859006,122.82389369661551,637910,RKFORGE.NS,2015-08-25,2015-34,2015-08,0.628631591796875,up
2015-08-26,116.39254760742188,121.27649216971233,114.11982377905122,121.27649216971233,716530,RKFORGE.NS,2015-08-26,2015-34,2015-08,-4.535797119140625,down
2015-08-27,121.06375122070312,122.97864683690048,116.24750352928059,118.96510832380169,650990,RKFORGE.NS,2015-08-27,2015-34,2015-08,4.67120361328125,up
2015-08-28,126.86643981933594,132.3016490582179,122.49508026602098,123.47186342255044,464620,RKFORGE.NS,2015-08-28,2015-34,2015-08,5.8026885986328125,up
2015-08-31,124.25520324707031,128.626576754455,123.4041428390968,128.32677280885986,167785,RKFORGE.NS,2015-08-31,2015-35,2015-08,-2.611236572265625,down
2015-09-01,119.94185638427734,123.67492888372651,117.988283139499,123.67492888372651,309865,RKFORGE.NS,2015-09-01,2015-35,2015-09,-4.313346862792969,down
2015-09-02,119.61305236816406,122.84322018743815,118.76199191136263,121.76972691260063,129155,RKFORGE.NS,2015-09-02,2015-35,2015-09,-0.32880401611328125,down
2015-09-03,125.16290283203125,127.11311017429499,120.31162752846414,122.25213764989098,191525,RKFORGE.NS,2015-09-03,2015-35,2015-09,5.5498504638671875,up
2015-09-04,120.74824523925781,123.5231754405561,118.1964769698993,123.5231754405561,185480,RKFORGE.NS,2015-09-04,2015-35,2015-09,-4.4146575927734375,down
2015-09-07,120.58331298828125,122.19394014563501,116.81872554220774,120.31164272136846,190110,RKFORGE.NS,2015-09-07,2015-36,2015-09,-0.1649322509765625,down
2015-09-08,115.07225799560547,121.29159698927313,101.87678958676408,121.29159698927313,1542070,RKFORGE.NS,2015-09-08,2015-36,2015-09,-5.511054992675781,down
2015-09-09,120.03996276855469,121.22367518098463,116.43061259375484,117.4105723224408,234255,RKFORGE.NS,2015-09-09,2015-36,2015-09,4.967704772949219,up
2015-09-10,118.08973693847656,121.47592486673666,112.54958169341468,117.96360645146376,724105,RKFORGE.NS,2015-09-10,2015-36,2015-09,-1.950225830078125,down
2015-09-11,117.94419860839844,120.8937747761492,116.95454173882062,120.31162324095882,110210,RKFORGE.NS,2015-09-11,2015-36,2015-09,-0.145538330078125,down
