Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,SAFARI.NS,SAFARI.NS,SAFARI.NS,SAFARI.NS,SAFARI.NS,,,,,,
Date,,,,,,,,,,,
2019-09-12,279.4143371582031,292.97330938342947,272.672175391707,292.97330938342947,2690,SAFARI.NS,2019-09-12,2019-36,2019-09,,no change
2019-09-13,279.1904296875,282.6237229771756,237.69252802146727,282.6237229771756,4726,SAFARI.NS,2019-09-13,2019-36,2019-09,-0.223907470703125,down
2019-09-16,277.896728515625,279.6382478527865,271.3038338820851,271.3038338820851,1008,SAFARI.NS,2019-09-16,2019-37,2019-09,-1.293701171875,down
2019-09-17,279.6382751464844,286.10677617300445,271.30386036231425,286.10677617300445,2196,SAFARI.NS,2019-09-17,2019-37,2019-09,1.741546630859375,up
2019-09-18,281.8773193359375,283.6188385198312,272.6970192783324,283.6188385198312,610,SAFARI.NS,2019-09-18,2019-37,2019-09,2.239044189453125,up
2019-09-19,278.0957336425781,280.9318975961068,273.1697103249115,279.1406329549642,540,SAFARI.NS,2019-09-19,2019-37,2019-09,-3.781585693359375,down
2019-09-20,281.70318603515625,286.10672963911907,273.6673066113313,273.6673066113313,7618,SAFARI.NS,2019-09-20,2019-37,2019-09,3.607452392578125,up
2019-09-23,282.25048828125,288.5697208006196,272.0750348995099,288.5697208006196,7030,SAFARI.NS,2019-09-23,2019-38,2019-09,0.54730224609375,up
2019-09-24,293.2718505859375,298.5212810500418,281.3797499774768,288.5946153615147,6628,SAFARI.NS,2019-09-24,2019-38,2019-09,11.0213623046875,up
2019-09-25,288.4205322265625,294.06801926421707,280.6583124810222,293.27190817889095,1726,SAFARI.NS,2019-09-25,2019-38,2019-09,-4.851318359375,down
2019-09-26,295.63531494140625,308.00008824235806,285.50960722729945,293.5206132046857,22304,SAFARI.NS,2019-09-26,2019-38,2019-09,7.21478271484375,up
2019-09-27,304.26824951171875,310.56260893076586,285.1115404255353,293.3215586053282,7688,SAFARI.NS,2019-09-27,2019-38,2019-09,8.6329345703125,up
2019-09-30,294.06793212890625,315.43886491170315,291.08247088901885,315.43886491170315,5730,SAFARI.NS,2019-09-30,2019-39,2019-09,-10.2003173828125,down
2019-10-01,288.1219482421875,299.51647339211695,283.6935312797967,293.5704223236576,2844,SAFARI.NS,2019-10-01,2019-39,2019-10,-5.94598388671875,down
2019-10-03,290.9332275390625,308.0001096064866,284.6139946605983,284.6139946605983,7780,SAFARI.NS,2019-10-03,2019-39,2019-10,2.811279296875,up
2019-10-04,283.86761474609375,296.8792625216802,281.1309418607239,291.0824796257053,4906,SAFARI.NS,2019-10-04,2019-39,2019-10,-7.06561279296875,down
2019-10-07,290.3112487792969,293.57037140485465,283.64370616222834,283.64370616222834,1852,SAFARI.NS,2019-10-07,2019-40,2019-10,6.443634033203125,up
2019-10-09,293.64501953125,298.54613984584574,284.7881264200762,295.5606784473873,1884,SAFARI.NS,2019-10-09,2019-40,2019-10,3.333770751953125,up
2019-10-10,284.2657165527344,295.063142862973,282.6983673208906,288.6195150351138,17760,SAFARI.NS,2019-10-10,2019-40,2019-10,-9.379302978515625,down
2019-10-11,285.9326171875,290.8337381809113,282.59884542355024,283.6188721353626,4568,SAFARI.NS,2019-10-11,2019-40,2019-10,1.666900634765625,up
2019-10-14,292.2767333984375,300.03892222350834,283.6686272544828,294.5158298329413,4564,SAFARI.NS,2019-10-14,2019-41,2019-10,6.3441162109375,up
2019-10-15,288.221435546875,292.57523366691845,278.6679524552426,279.14065661078445,3524,SAFARI.NS,2019-10-15,2019-41,2019-10,-4.0552978515625,down
2019-10-16,289.7639465332031,296.05830757318085,286.156513373698,288.5946527604116,2766,SAFARI.NS,2019-10-16,2019-41,2019-10,1.542510986328125,up
