Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,SANOFI.NS,SANOFI.NS,SANOFI.NS,SANOFI.NS,SANOFI.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,3460.042724609375,3504.1501293232786,3406.6431103153673,3469.755403593369,2792,SANOFI.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,3470.0087890625,3497.4653657982444,3447.84996387901,3468.873439268516,3019,SANOFI.NS,2015-08-19,2015-33,2015-08,9.966064453125,up
2015-08-20,3436.917236328125,3514.283614048259,3407.0639057948124,3468.91479678063,5050,SANOFI.NS,2015-08-20,2015-33,2015-08,-33.091552734375,down
2015-08-21,3459.327880859375,3481.486700800201,3389.277841680924,3481.486700800201,1353,SANOFI.NS,2015-08-21,2015-33,2015-08,22.41064453125,up
2015-08-24,3290.2568359375,3447.0077273132865,3136.659259375767,3374.729087193342,8081,SANOFI.NS,2015-08-24,2015-34,2015-08,-169.071044921875,down
2015-08-25,3356.3134765625,3380.40650115537,3164.0328638497654,3363.755868544601,16433,SANOFI.NS,2015-08-25,2015-34,2015-08,66.056640625,up
2015-08-26,3305.352294921875,3346.936680709931,3221.6367898994336,3246.0661049746263,3130,SANOFI.NS,2015-08-26,2015-34,2015-08,-50.961181640625,down
2015-08-27,3344.287841796875,3401.5977439131675,3313.257074174795,3401.5977439131675,8341,SANOFI.NS,2015-08-27,2015-34,2015-08,38.935546875,up
2015-08-28,3342.77392578125,3372.1646967274205,3300.6848964227247,3362.788310928031,12463,SANOFI.NS,2015-08-28,2015-34,2015-08,-1.513916015625,down
2015-08-31,3313.046875,3363.755530686569,3304.889808899554,3363.755530686569,1364,SANOFI.NS,2015-08-31,2015-35,2015-08,-29.72705078125,down
2015-09-01,3267.720458984375,3338.4432981622363,3216.6755081862743,3300.685223209481,14799,SANOFI.NS,2015-09-01,2015-35,2015-09,-45.326416015625,down
2015-09-02,3268.056640625,3308.253560227103,3237.656782177981,3267.930581915697,1966,SANOFI.NS,2015-09-02,2015-35,2015-09,0.336181640625,up
2015-09-03,3363.503173828125,3384.778968405284,3246.1082301828715,3299.802054112175,2558,SANOFI.NS,2015-09-03,2015-35,2015-09,95.446533203125,up
2015-09-04,3274.321533203125,3344.5399285082312,3246.1081984970656,3342.7740800741835,4798,SANOFI.NS,2015-09-04,2015-35,2015-09,-89.181640625,down
2015-09-07,3303.41796875,3321.708388356775,3267.047364244575,3296.480223381913,2213,SANOFI.NS,2015-09-07,2015-36,2015-09,29.096435546875,up
2015-09-08,3282.4365234375,3332.640529720038,3261.160730319028,3332.640529720038,1762,SANOFI.NS,2015-09-08,2015-36,2015-09,-20.9814453125,down
2015-09-09,3361.695068359375,3376.369409913848,3268.3087700199676,3313.2989975244236,1642,SANOFI.NS,2015-09-09,2015-36,2015-09,79.258544921875,up
2015-09-10,3317.756103515625,3355.3039412437984,3300.6850037088607,3313.341174529772,1037,SANOFI.NS,2015-09-10,2015-36,2015-09,-43.93896484375,down
2015-09-11,3300.7275390625,3346.6008008513413,3271.210499147975,3346.5587128414472,1130,SANOFI.NS,2015-09-11,2015-36,2015-09,-17.028564453125,down
2015-09-14,3335.37353515625,3344.4136273095255,3296.4801154270403,3304.9315914783124,2206,SANOFI.NS,2015-09-14,2015-37,2015-09,34.64599609375,up
2015-09-15,3303.207763671875,3355.3038837508034,3258.638005149826,3330.117806553112,1517,SANOFI.NS,2015-09-15,2015-37,2015-09,-32.165771484375,down
2015-09-16,3376.411376953125,3404.12026940871,3301.5678235990304,3301.5678235990304,11519,SANOFI.NS,2015-09-16,2015-37,2015-09,73.20361328125,up
2015-09-18,3519.329833984375,3547.0808219226033,3382.2567723500974,3405.887241171965,16716,SANOFI.NS,2015-09-18,2015-37,2015-09,142.91845703125,up
2015-09-21,3510.7939453125,3610.991735879364,3482.32808064193,3482.32808064193,7139,SANOFI.NS,2015-09-21,2015-38,2015-09,-8.535888671875,down
2015-09-22,3544.68359375,3573.990397129402,3499.231009533566,3510.9199783565305,9135,SANOFI.NS,2015-09-22,2015-38,2015-09,33.8896484375,up
2015-09-23,3498.9365234375,3532.027551230635,3473.0776522975125,3531.9433752178093,9352,SANOFI.NS,2015-09-23,2015-38,2015-09,-45.7470703125,down
2015-09-24,3510.45751953125,3531.102405069717,3473.119504260478,3489.854516691477,1779,SANOFI.NS,2015-09-24,2015-38,2015-09,11.52099609375,up
2015-09-28,3502.384033203125,3528.579194624657,3465.5087848065323,3498.3053979119572,4797,SANOFI.NS,2015-09-28,2015-39,2015-09,-8.073486328125,down
2015-09-29,3453.3994140625,3501.6692198403457,3431.3247702054373,3501.6692198403457,2625,SANOFI.NS,2015-09-29,2015-39,2015-09,-48.984619140625,down
2015-09-30,3468.914306640625,3531.9428316561516,3435.2348731703287,3461.177916330539,3407,SANOFI.NS,2015-09-30,2015-39,2015-09,15.514892578125,up
2015-10-01,3431.6611328125,3478.9639420315657,3407.484141433866,3468.872676064832,879,SANOFI.NS,2015-10-01,2015-39,2015-10,-37.253173828125,down
2015-10-05,3432.880615234375,3468.8728399442343,3418.4165077268635,3468.8728399442343,1625,SANOFI.NS,2015-10-05,2015-40,2015-10,1.219482421875,up
2015-10-06,3441.33203125,3456.3005786312906,3422.915552438394,3431.9135571303323,1387,SANOFI.NS,2015-10-06,2015-40,2015-10,8.451416015625,up
2015-10-07,3391.253662109375,3462.8597199839196,3381.414719778297,3447.8488811467337,2911,SANOFI.NS,2015-10-07,2015-40,2015-10,-50.078369140625,down
2015-10-08,3361.106689453125,3417.617741880925,3342.7320925572612,3381.4573695589224,2604,SANOFI.NS,2015-10-08,2015-40,2015-10,-30.14697265625,down
2015-10-09,3345.12841796875,3403.2792526535795,3338.526966403437,3380.6159935274936,2083,SANOFI.NS,2015-10-09,2015-40,2015-10,-15.978271484375,down
2015-10-12,3342.18505859375,3372.164443405338,3334.7005804102814,3344.539522886934,1989,SANOFI.NS,2015-10-12,2015-41,2015-10,-2.943359375,down
2015-10-13,3325.787353515625,3346.9368851265867,3321.750805658022,3322.6757152810574,1035,SANOFI.NS,2015-10-13,2015-41,2015-10,-16.397705078125,down
2015-10-14,3302.576904296875,3357.027691629798,3292.9481960925177,3357.027691629798,2981,SANOFI.NS,2015-10-14,2015-41,2015-10,-23.21044921875,down
2015-10-15,3297.1533203125,3338.6535323482076,3281.4278037525683,3281.4278037525683,104000,SANOFI.NS,2015-10-15,2015-41,2015-10,-5.423583984375,down
2015-10-16,3292.275634765625,3325.240396994786,3283.8662461710765,3304.9318056618877,1693,SANOFI.NS,2015-10-16,2015-41,2015-10,-4.877685546875,down
2015-10-19,3303.165771484375,3319.0596392065445,3290.593776522584,3319.0596392065445,1755,SANOFI.NS,2015-10-19,2015-42,2015-10,10.89013671875,up
2015-10-20,3359.046142578125,3392.347403976588,3304.8055854248055,3307.454666051582,3596,SANOFI.NS,2015-10-20,2015-42,2015-10,55.88037109375,up
2015-10-21,3483.25341796875,3594.8457738226316,3422.4114008735805,3422.4534888838944,99366,SANOFI.NS,2015-10-21,2015-42,2015-10,124.207275390625,up
2015-10-23,3530.89208984375,3590.808984491292,3500.1978210067637,3529.4204468173193,9695,SANOFI.NS,2015-10-23,2015-42,2015-10,47.638671875,up
2015-10-26,3556.33056640625,3573.990283099211,3531.943338592161,3552.966810845686,48844,SANOFI.NS,2015-10-26,2015-43,2015-10,25.4384765625,up
2015-10-27,3574.11572265625,3595.013132579078,3540.352114188987,3541.9079329891674,7211,SANOFI.NS,2015-10-27,2015-43,2015-10,17.78515625,up
2015-10-28,3588.159912109375,3607.5856811143603,3573.9900107672834,3607.5856811143603,5255,SANOFI.NS,2015-10-28,2015-43,2015-10,14.044189453125,up
2015-10-29,3781.702392578125,3811.9761942532,3565.5810861755062,3587.8659679641028,24248,SANOFI.NS,2015-10-29,2015-43,2015-10,193.54248046875,up
2015-10-30,3826.3974609375,3886.0622308952834,3701.812464325791,3701.812464325791,20861,SANOFI.NS,2015-10-30,2015-43,2015-10,44.695068359375,up
2015-11-02,3680.915771484375,3838.886232301247,3637.060888215311,3838.886232301247,9086,SANOFI.NS,2015-11-02,2015-44,2015-11,-145.481689453125,down
2015-11-03,3646.81591796875,3704.125825056914,3624.446859866122,3687.517280861472,2000,SANOFI.NS,2015-11-03,2015-44,2015-11,-34.099853515625,down
2015-11-04,3636.09326171875,3698.44879074492,3617.7186670724527,3637.0602592023147,1711,SANOFI.NS,2015-11-04,2015-44,2015-11,-10.72265625,down
2015-11-05,3596.443603515625,3672.422105603053,3590.8091485682435,3672.422105603053,1183,SANOFI.NS,2015-11-05,2015-44,2015-11,-39.649658203125,down
2015-11-06,3635.251953125,3683.2696351725576,3586.4352150640293,3683.2696351725576,2101,SANOFI.NS,2015-11-06,2015-44,2015-11,38.808349609375,up
2015-11-09,3750.125,3762.3604962863055,3452.0540539238455,3634.621964331037,8718,SANOFI.NS,2015-11-09,2015-45,2015-11,114.873046875,up
2015-11-10,3786.621826171875,3826.2720133743414,3742.17812297051,3742.17812297051,7301,SANOFI.NS,2015-11-10,2015-45,2015-11,36.496826171875,up
2015-11-13,3867.772705078125,3922.139326962061,3826.314167796074,3921.2983879983044,7616,SANOFI.NS,2015-11-13,2015-45,2015-11,81.15087890625,up
2015-11-16,3826.9443359375,3893.5468567832017,3800.4970556009393,3853.181792177242,4585,SANOFI.NS,2015-11-16,2015-46,2015-11,-40.828369140625,down
2015-11-17,3792.045166015625,3841.1982031139855,3742.009307423258,3800.4545540143417,5643,SANOFI.NS,2015-11-17,2015-46,2015-11,-34.899169921875,down
2015-11-18,3742.051513671875,3805.2479808890157,3729.5634906613886,3784.182628688182,971,SANOFI.NS,2015-11-18,2015-46,2015-11,-49.99365234375,down
2015-11-19,3753.4892578125,3775.816023505149,3720.4824028186076,3775.774140802007,14602,SANOFI.NS,2015-11-19,2015-46,2015-11,11.437744140625,up
2015-11-20,3750.208984375,3775.7738559525187,3709.3815641862325,3709.3815641862325,3865,SANOFI.NS,2015-11-20,2015-46,2015-11,-3.2802734375,down
2015-11-23,3801.842529296875,3818.2827190112957,3742.2196383609453,3816.180371957551,5933,SANOFI.NS,2015-11-23,2015-47,2015-11,51.633544921875,up
2015-11-24,3783.215576171875,3806.4255708127107,3750.377077960354,3784.1406910400888,6324,SANOFI.NS,2015-11-24,2015-47,2015-11,-18.626953125,down
2015-11-26,3719.38818359375,3822.0668944996073,3701.0135884576584,3784.2246480194135,18461,SANOFI.NS,2015-11-26,2015-47,2015-11,-63.827392578125,down
2015-11-27,3695.21142578125,3721.196354546481,3657.074766189758,3719.5144768190917,3613,SANOFI.NS,2015-11-27,2015-47,2015-11,-24.1767578125,down
