Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,,,,,,
Date,,,,,,,,,,,
2017-10-03,695.6265258789062,727.5296982988741,689.875132672024,722.613957094152,35367877,SBILIFE.NS,2017-10-03,2017-40,2017-10,,no change
2017-10-04,691.7922973632812,698.7726260087736,687.2206339502396,698.1827610552363,3613280,SBILIFE.NS,2017-10-04,2017-40,2017-10,-3.834228515625,down
2017-10-05,682.8455200195312,692.6770012954776,674.5379063400367,692.6770012954776,2680742,SBILIFE.NS,2017-10-05,2017-40,2017-10,-8.94677734375,down
2017-10-06,685.0084838867188,690.1700117523883,677.3890856088256,682.2065356194246,1416485,SBILIFE.NS,2017-10-06,2017-40,2017-10,2.1629638671875,up
2017-10-09,686.8765258789062,690.6616225120956,682.4031534858215,682.4031534858215,951473,SBILIFE.NS,2017-10-09,2017-41,2017-10,1.8680419921875,up
2017-10-10,688.2037353515625,689.3835251849144,683.8287138897925,686.5815168298781,555002,SBILIFE.NS,2017-10-10,2017-41,2017-10,1.32720947265625,up
2017-10-11,678.2739868164062,691.153204606575,674.4396847227745,688.2037599211984,1077409,SBILIFE.NS,2017-10-11,2017-41,2017-10,-9.92974853515625,down
2017-10-12,676.1110229492188,682.3048445511724,673.4565108322091,679.4536907946429,439314,SBILIFE.NS,2017-10-12,2017-41,2017-10,-2.1629638671875,down
2017-10-13,678.0772705078125,683.3370889482782,668.5407217404886,677.3399094176575,1344510,SBILIFE.NS,2017-10-13,2017-41,2017-10,1.96624755859375,up
2017-10-16,658.8075561523438,677.8315089985654,657.7261171820393,674.4396358548265,971834,SBILIFE.NS,2017-10-16,2017-42,2017-10,-19.26971435546875,down
2017-10-17,661.7078247070312,662.6418274146477,657.7260868551917,659.2008090230286,664335,SBILIFE.NS,2017-10-17,2017-42,2017-10,2.9002685546875,up
2017-10-18,657.1362915039062,661.5112530593353,652.9579115863713,659.6924528625798,415712,SBILIFE.NS,2017-10-18,2017-42,2017-10,-4.571533203125,down
2017-10-19,663.7232666015625,666.8202071579025,654.8749335909895,654.8749335909895,93358,SBILIFE.NS,2017-10-19,2017-42,2017-10,6.58697509765625,up
2017-10-23,654.580078125,662.4452639480859,653.7935715440126,658.7093126834412,292330,SBILIFE.NS,2017-10-23,2017-43,2017-10,-9.1431884765625,down
2017-10-24,654.6292114257812,660.1348774040613,651.8272630307795,652.6137695972182,350373,SBILIFE.NS,2017-10-24,2017-43,2017-10,0.04913330078125,up
2017-10-25,658.6110229492188,662.1011871626465,647.0098258357543,655.7598690810069,583868,SBILIFE.NS,2017-10-25,2017-43,2017-10,3.9818115234375,up
2017-10-26,655.6123657226562,658.611015795365,649.369398535742,658.611015795365,242175,SBILIFE.NS,2017-10-26,2017-43,2017-10,-2.9986572265625,down
2017-10-27,651.0407104492188,654.825806786392,647.8946243992226,652.02385858943,396395,SBILIFE.NS,2017-10-27,2017-43,2017-10,-4.5716552734375,down
2017-10-30,643.9620361328125,653.793517600489,638.9480045869378,653.793517600489,1164020,SBILIFE.NS,2017-10-30,2017-44,2017-10,-7.07867431640625,down
2017-10-31,650.9424438476562,657.7261908954091,644.7486217643126,644.7486217643126,1402840,SBILIFE.NS,2017-10-31,2017-44,2017-10,6.98040771484375,up
2017-11-01,636.14599609375,653.6460210974407,631.4268969925953,652.8103691756844,859011,SBILIFE.NS,2017-11-01,2017-44,2017-11,-14.79644775390625,down
2017-11-02,631.9183959960938,642.5855281141216,630.3945285516031,636.145920521859,574130,SBILIFE.NS,2017-11-02,2017-44,2017-11,-4.22760009765625,down
2017-11-03,631.4268798828125,642.4872962295336,630.296235542508,632.2133863772596,672547,SBILIFE.NS,2017-11-03,2017-44,2017-11,-0.49151611328125,down
2017-11-06,645.6825561523438,648.7794968689241,631.8201910544925,631.8201910544925,483071,SBILIFE.NS,2017-11-06,2017-45,2017-11,14.25567626953125,up
