Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,SKFINDIA.NS,SKFINDIA.NS,SKFINDIA.NS,SKFINDIA.NS,SKFINDIA.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,1222.9947509765625,1233.7023563334185,1217.7806354476713,1220.2480628921771,3599,SKFINDIA.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,1219.2703857421875,1232.7712796660223,1215.0804531451354,1216.9426454104919,137167,SKFINDIA.NS,2015-08-19,2015-33,2015-08,-3.724365234375,down
2015-08-20,1222.063720703125,1228.860768194335,1215.0804994419643,1228.860768194335,4836,SKFINDIA.NS,2015-08-20,2015-33,2015-08,2.7933349609375,up
2015-08-21,1205.210693359375,1212.5197742774355,1173.4137420104728,1210.4248082631339,8268,SKFINDIA.NS,2015-08-21,2015-33,2015-08,-16.85302734375,down
2015-08-24,1130.536865234375,1191.8030354912762,1118.246441894549,1191.8030354912762,42228,SKFINDIA.NS,2015-08-24,2015-34,2015-08,-74.673828125,down
2015-08-25,1109.0750732421875,1181.560877385413,1098.6933296412824,1117.31525048266,109871,SKFINDIA.NS,2015-08-25,2015-34,2015-08,-21.4617919921875,down
2015-08-26,1096.7845458984375,1135.9371802383603,1084.7268975226964,1135.9371802383603,5669,SKFINDIA.NS,2015-08-26,2015-34,2015-08,-12.29052734375,down
2015-08-27,1120.9930419921875,1137.799371129252,1098.8795108429897,1117.315258064732,29247,SKFINDIA.NS,2015-08-27,2015-34,2015-08,24.20849609375,up
2015-08-28,1124.2518310546875,1171.318779792204,1119.1774032672727,1134.074939417253,8528,SKFINDIA.NS,2015-08-28,2015-34,2015-08,3.2587890625,up
2015-08-31,1118.3394775390625,1125.8813330456678,1107.0732377171762,1125.8813330456678,35813,SKFINDIA.NS,2015-08-31,2015-35,2015-08,-5.912353515625,down
2015-09-01,1142.454833984375,1162.9389467371511,1094.037840205086,1099.15886839328,22554,SKFINDIA.NS,2015-09-01,2015-35,2015-09,24.1153564453125,up
2015-09-02,1142.873779296875,1162.7061702470446,1141.5237355138152,1151.7191916030586,4110,SKFINDIA.NS,2015-09-02,2015-35,2015-09,0.4189453125,up
2015-09-03,1152.2313232421875,1154.2332024144043,1141.5703192908113,1152.5106975114948,1913,SKFINDIA.NS,2015-09-03,2015-35,2015-09,9.3575439453125,up
2015-09-04,1158.3299560546875,1170.3876030809936,1141.5236287806667,1146.7377433417944,4322,SKFINDIA.NS,2015-09-04,2015-35,2015-09,6.0986328125,up
2015-09-07,1159.9595947265625,1183.8887196080896,1141.5238460397309,1159.2612726347763,3355,SKFINDIA.NS,2015-09-07,2015-36,2015-09,1.629638671875,up
2015-09-08,1142.3619384765625,1168.525718689075,1135.9373520324075,1135.9373520324075,9681,SKFINDIA.NS,2015-09-08,2015-36,2015-09,-17.59765625,down
2015-09-09,1146.225830078125,1159.3076612967996,1143.3859416811224,1159.3076612967996,2356,SKFINDIA.NS,2015-09-09,2015-36,2015-09,3.8638916015625,up
2015-09-10,1166.5704345703125,1182.2127823049423,1138.0789140008062,1142.0825594064545,3549,SKFINDIA.NS,2015-09-10,2015-36,2015-09,20.3446044921875,up
2015-09-11,1164.7545166015625,1207.9109079020031,1149.9501808637035,1177.8364610995823,4477,SKFINDIA.NS,2015-09-11,2015-36,2015-09,-1.81591796875,down
2015-09-14,1164.6614990234375,1182.4454112682363,1149.9502492801623,1159.2612100009144,2889,SKFINDIA.NS,2015-09-14,2015-37,2015-09,-0.093017578125,down
2015-09-15,1148.5537109375,1176.8589432077445,1145.2948743851443,1159.261316752383,1617,SKFINDIA.NS,2015-09-15,2015-37,2015-09,-16.1077880859375,down
2015-09-16,1142.1756591796875,1162.5666886219626,1141.5239373055927,1154.5592840611214,2711,SKFINDIA.NS,2015-09-16,2015-37,2015-09,-6.3780517578125,down
2015-09-18,1143.432373046875,1168.5253622547336,1137.1474756801663,1168.5253622547336,4973,SKFINDIA.NS,2015-09-18,2015-37,2015-09,1.2567138671875,up
