Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,181.16940307617188,184.03178474010716,168.41203424635842,171.7432612973853,5721858,SYNGENE.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,174.8523712158203,180.725212192436,173.51988965526198,179.4420700867666,2192628,SYNGENE.NS,2015-08-19,2015-33,2015-08,-6.3170318603515625,down
2015-08-20,167.22760009765625,175.1485116864697,165.91978805220762,173.69265113054993,1280508,SYNGENE.NS,2015-08-20,2015-33,2015-08,-7.6247711181640625,down
2015-08-21,169.89256286621094,172.1133806814555,160.39239776766465,162.85997311793642,1619888,SYNGENE.NS,2015-08-21,2015-33,2015-08,2.6649627685546875,up
2015-08-24,153.95204162597656,165.72236472424254,151.01562075363495,163.30414374395951,1543924,SYNGENE.NS,2015-08-24,2015-34,2015-08,-15.940521240234375,down
2015-08-25,153.08837890625,160.3923958304844,145.9077256871545,160.3923958304844,1778930,SYNGENE.NS,2015-08-25,2015-34,2015-08,-0.8636627197265625,down
2015-08-26,157.23391723632812,161.37944115284793,151.75589649694416,154.4702296050196,918764,SYNGENE.NS,2015-08-26,2015-34,2015-08,4.145538330078125,up
2015-08-27,159.08462524414062,161.57687094080717,157.13523421027307,159.89892229922754,598558,SYNGENE.NS,2015-08-27,2015-34,2015-08,1.8507080078125,up
2015-08-28,161.45346069335938,166.3145874026159,159.18328823889138,161.37943644111394,719676,SYNGENE.NS,2015-08-28,2015-34,2015-08,2.36883544921875,up
2015-08-31,161.84828186035156,164.3405270723803,157.77678231576556,161.37943649449957,400304,SYNGENE.NS,2015-08-31,2015-35,2015-08,0.3948211669921875,up
2015-09-01,158.09756469726562,163.84701257827186,155.77803771171298,160.8859219895079,449636,SYNGENE.NS,2015-09-01,2015-35,2015-09,-3.7507171630859375,down
2015-09-02,158.3196563720703,161.8729715275171,156.9624896900561,159.89891089913274,338690,SYNGENE.NS,2015-09-02,2015-35,2015-09,0.2220916748046875,up
2015-09-03,165.6730194091797,168.56007059640018,159.5534203304691,160.39240199603316,912786,SYNGENE.NS,2015-09-03,2015-35,2015-09,7.353363037109375,up
2015-09-04,160.78720092773438,166.01846358905837,157.92481959689442,165.27819099719795,584568,SYNGENE.NS,2015-09-04,2015-35,2015-09,-4.8858184814453125,down
2015-09-07,158.36900329589844,162.85999402201622,157.43132755461568,161.87296375521612,534438,SYNGENE.NS,2015-09-07,2015-36,2015-09,-2.4181976318359375,down
2015-09-08,164.95741271972656,166.80809423864648,156.71570499778275,160.3430437870427,698484,SYNGENE.NS,2015-09-08,2015-36,2015-09,6.588409423828125,up
