Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TATAELXSI.NS,TATAELXSI.NS,TATAELXSI.NS,TATAELXSI.NS,TATAELXSI.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,966.8585205078125,969.6437678129388,809.0026668800278,812.0370274117698,8115324,TATAELXSI.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,993.7376708984375,1049.5340592207297,957.8685720176472,975.5313967498876,7432538,TATAELXSI.NS,2015-08-19,2015-33,2015-08,26.879150390625,up
2015-08-20,950.7354125976562,989.5709784570104,926.1659729723507,982.6870285468725,2860678,TATAELXSI.NS,2015-08-20,2015-33,2015-08,-43.00225830078125,down
2015-08-21,932.574462890625,939.5717473421893,898.1546543767523,926.1660719506756,2340582,TATAELXSI.NS,2015-08-21,2015-33,2015-08,-18.16094970703125,down
2015-08-24,766.2042236328125,890.387433612815,749.7868561513961,879.9708970039164,2310660,TATAELXSI.NS,2015-08-24,2015-34,2015-08,-166.3702392578125,down
2015-08-25,799.5823364257812,824.2423302950973,704.2483903381988,801.1674614201116,3839788,TATAELXSI.NS,2015-08-25,2015-34,2015-08,33.37811279296875,up
2015-08-26,810.9727172851562,844.6000165549432,764.4832480457945,791.2039302938407,2910996,TATAELXSI.NS,2015-08-26,2015-34,2015-08,11.390380859375,up
2015-08-27,839.255859375,859.5907625491623,831.7378479565524,835.4515477883216,2029196,TATAELXSI.NS,2015-08-27,2015-34,2015-08,28.28314208984375,up
2015-08-28,844.6226196289062,869.5091184764774,836.4932139194,853.9295911451158,1926348,TATAELXSI.NS,2015-08-28,2015-34,2015-08,5.36676025390625,up
2015-08-31,832.6209716796875,843.6942368113127,815.207260914618,839.7540352126904,1063424,TATAELXSI.NS,2015-08-31,2015-35,2015-08,-12.00164794921875,down
2015-09-01,818.5586547851562,864.8895662050795,805.2435922035745,817.4717007465983,2340382,TATAELXSI.NS,2015-09-01,2015-35,2015-09,-14.06231689453125,down
2015-09-02,837.1725463867188,853.2502447349625,830.4018194779194,833.3229566413646,1724702,TATAELXSI.NS,2015-09-02,2015-35,2015-09,18.6138916015625,up
2015-09-03,845.4605102539062,860.4965328187217,839.4596791697757,850.1252740767401,1154554,TATAELXSI.NS,2015-09-03,2015-35,2015-09,8.2879638671875,up
2015-09-04,801.2127075195312,839.8444886603876,779.8814659367519,836.945963444319,1604766,TATAELXSI.NS,2015-09-04,2015-35,2015-09,-44.247802734375,down
2015-09-07,780.7420043945312,819.7360681831974,775.8054612142636,806.1492825227024,1414520,TATAELXSI.NS,2015-09-07,2015-36,2015-09,-20.470703125,down
2015-09-08,851.7783203125,867.1993456467437,780.7873583510568,792.9022434066779,3703738,TATAELXSI.NS,2015-09-08,2015-36,2015-09,71.03631591796875,up
2015-09-09,882.2807006835938,910.7223986341196,873.9474597636807,873.9474597636807,3389974,TATAELXSI.NS,2015-09-09,2015-36,2015-09,30.50238037109375,up
2015-09-10,873.0867919921875,880.8765263062846,843.2864226130088,859.5905639739477,2289844,TATAELXSI.NS,2015-09-10,2015-36,2015-09,-9.19390869140625,down
2015-09-11,893.2633666992188,910.3147967094644,884.4998994893452,885.4056853567179,2284048,TATAELXSI.NS,2015-09-11,2015-36,2015-09,20.17657470703125,up
2015-09-14,905.4234619140625,916.6552279274803,898.3810105027788,905.7631315884428,1656808,TATAELXSI.NS,2015-09-14,2015-37,2015-09,12.16009521484375,up
2015-09-15,868.1956787109375,913.4396899260685,861.1758388465558,906.5556847591635,1637646,TATAELXSI.NS,2015-09-15,2015-37,2015-09,-37.227783203125,down
2015-09-16,843.10546875,886.2435203999853,831.8284237184018,880.3333008251083,1907526,TATAELXSI.NS,2015-09-16,2015-37,2015-09,-25.0902099609375,down
2015-09-18,850.0798950195312,874.536109367456,840.7955914244858,856.6241747079835,1405410,TATAELXSI.NS,2015-09-18,2015-37,2015-09,6.97442626953125,up
2015-09-21,868.3994750976562,873.0869608734408,827.8882270216931,842.3807999236045,1509806,TATAELXSI.NS,2015-09-21,2015-38,2015-09,18.319580078125,up
2015-09-22,851.2574462890625,885.4055805019495,845.7095085084237,872.6793016294392,1714696,TATAELXSI.NS,2015-09-22,2015-38,2015-09,-17.14202880859375,down
2015-09-23,857.8696899414062,869.010899260855,829.5865510808397,837.8518463215797,1524940,TATAELXSI.NS,2015-09-23,2015-38,2015-09,6.61224365234375,up
2015-09-24,854.4052124023438,866.3842087523612,848.7440505573859,853.7032062196555,947466,TATAELXSI.NS,2015-09-24,2015-38,2015-09,-3.4644775390625,down
2015-09-28,852.2764892578125,873.4039540117598,848.8345142891059,858.2320419249597,1162708,TATAELXSI.NS,2015-09-28,2015-39,2015-09,-2.12872314453125,down
2015-09-29,847.0455932617188,863.6667401908089,831.330176826762,835.587381044595,1107712,TATAELXSI.NS,2015-09-29,2015-39,2015-09,-5.23089599609375,down
