Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TATAINVEST.NS,TATAINVEST.NS,TATAINVEST.NS,TATAINVEST.NS,TATAINVEST.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,470.021728515625,477.4933581310266,460.8852370325999,463.15919833242504,58738,TATAINVEST.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,466.69195556640625,476.7217719981995,464.5803813495953,472.4174797116017,19925,TATAINVEST.NS,2015-08-19,2015-33,2015-08,-3.32977294921875,down
2015-08-20,457.6773376464844,469.41266416432086,456.4591386910406,466.9762662534334,11473,TATAINVEST.NS,2015-08-20,2015-33,2015-08,-9.014617919921875,down
2015-08-21,455.0378112792969,463.7682352982599,448.7843813705923,454.7941814529592,16071,TATAINVEST.NS,2015-08-21,2015-33,2015-08,-2.6395263671875,down
2015-08-24,427.14111328125,447.48502320658827,423.1210473514201,446.67289067808264,32083,TATAINVEST.NS,2015-08-24,2015-34,2015-08,-27.896697998046875,down
2015-08-25,427.99383544921875,436.1151606000578,406.95960826540903,426.45076384310534,21870,TATAINVEST.NS,2015-08-25,2015-34,2015-08,0.85272216796875,up
2015-08-26,422.5119934082031,432.17639136455455,418.28889389193256,426.36962333360236,11290,TATAINVEST.NS,2015-08-26,2015-34,2015-08,-5.481842041015625,down
2015-08-27,430.43023681640625,435.2624352377892,426.3695742049307,430.47083352879395,11201,TATAINVEST.NS,2015-08-27,2015-34,2015-08,7.918243408203125,up
2015-08-28,426.1259460449219,438.1049007960847,424.37984128763713,432.947829517962,8877,TATAINVEST.NS,2015-08-28,2015-34,2015-08,-4.304290771484375,down
2015-08-31,456.987060546875,465.51445353007745,413.78159285158694,429.3745499346003,35900,TATAINVEST.NS,2015-08-31,2015-35,2015-08,30.861114501953125,up
2015-09-01,436.7242736816406,457.96155944452045,432.8260474007201,454.79422270891445,12827,TATAINVEST.NS,2015-09-01,2015-35,2015-09,-20.262786865234375,down
2015-09-02,428.7654113769531,450.692991336243,426.28841688787236,450.692991336243,6989,TATAINVEST.NS,2015-09-02,2015-35,2015-09,-7.9588623046875,down
2015-09-03,435.1406555175781,438.3891860545793,430.6333293112175,430.6333293112175,4065,TATAINVEST.NS,2015-09-03,2015-35,2015-09,6.375244140625,up
2015-09-04,425.43560791015625,437.61759591447844,419.30401719504135,437.61759591447844,6151,TATAINVEST.NS,2015-09-04,2015-35,2015-09,-9.705047607421875,down
2015-09-07,424.46112060546875,435.95276708356903,419.2228554539752,428.3999438637745,4843,TATAINVEST.NS,2015-09-07,2015-36,2015-09,-0.9744873046875,down
2015-09-08,421.6998596191406,435.30308089717744,417.3955666807139,435.30308089717744,13630,TATAINVEST.NS,2015-09-08,2015-36,2015-09,-2.761260986328125,down
2015-09-09,429.6587219238281,433.06968859725276,427.75023023097657,430.4302577712967,5268,TATAINVEST.NS,2015-09-09,2015-36,2015-09,7.9588623046875,up
2015-09-10,442.0437927246094,447.85056101589936,423.2023052778852,429.6181730583884,19188,TATAINVEST.NS,2015-09-10,2015-36,2015-09,12.38507080078125,up
2015-09-11,441.2722473144531,450.73361233783027,439.5667886087399,450.69301561981655,7419,TATAINVEST.NS,2015-09-11,2015-36,2015-09,-0.77154541015625,down
2015-09-14,445.0080871582031,453.1294135063093,432.9072910720681,453.1294135063093,5139,TATAINVEST.NS,2015-09-14,2015-37,2015-09,3.73583984375,up
2015-09-15,445.65771484375,446.6322837694359,430.8362965368736,440.6630800800063,9531,TATAINVEST.NS,2015-09-15,2015-37,2015-09,0.649627685546875,up
2015-09-16,436.2776184082031,445.6983362176356,435.34364614260846,443.4243749776316,6008,TATAINVEST.NS,2015-09-16,2015-37,2015-09,-9.380096435546875,down
2015-09-18,426.85687255859375,445.4547288313323,423.5677454590731,435.34366809909915,20403,TATAINVEST.NS,2015-09-18,2015-37,2015-09,-9.420745849609375,down
2015-09-21,425.76055908203125,437.2116100853918,424.7453932282353,437.2116100853918,9817,TATAINVEST.NS,2015-09-21,2015-38,2015-09,-1.0963134765625,down
2015-09-22,422.755615234375,432.0545434229004,422.30895221787256,427.6690075531818,6479,TATAINVEST.NS,2015-09-22,2015-38,2015-09,-3.00494384765625,down
2015-09-23,425.43560791015625,427.6689723776153,419.3446139079952,424.2986521042679,4224,TATAINVEST.NS,2015-09-23,2015-38,2015-09,2.67999267578125,up
2015-09-24,425.5168151855469,427.1816768259902,422.3494787428443,425.5574118950929,2841,TATAINVEST.NS,2015-09-24,2015-38,2015-09,0.081207275390625,up
2015-09-28,430.47088623046875,435.1406488053751,423.40532250775163,431.8921183184837,12354,TATAINVEST.NS,2015-09-28,2015-39,2015-09,4.954071044921875,up
2015-09-29,432.4605712890625,435.58726169534134,423.5677101910814,427.05987014879645,8039,TATAINVEST.NS,2015-09-29,2015-39,2015-09,1.98968505859375,up
2015-09-30,438.4297180175781,440.1758227507778,431.8514644791995,431.8514644791995,7724,TATAINVEST.NS,2015-09-30,2015-39,2015-09,5.969146728515625,up
2015-10-01,439.44488525390625,444.96742602608145,434.49089672616475,435.3436259555452,10968,TATAINVEST.NS,2015-10-01,2015-39,2015-10,1.015167236328125,up
2015-10-05,442.53106689453125,447.6068955679928,438.5515973870816,438.5515973870816,6689,TATAINVEST.NS,2015-10-05,2015-40,2015-10,3.086181640625,up
2015-10-06,437.4958190917969,445.82017781478777,385.0320508661318,445.73893481777117,19698,TATAINVEST.NS,2015-10-06,2015-40,2015-10,-5.035247802734375,down
2015-10-07,436.6024475097656,440.01341419956526,430.4708565522209,435.3436519466095,3291,TATAINVEST.NS,2015-10-07,2015-40,2015-10,-0.89337158203125,down
2015-10-08,437.41455078125,448.1753065565291,436.115158590557,438.5515561245824,9750,TATAINVEST.NS,2015-10-08,2015-40,2015-10,0.812103271484375,up
