Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,18.559980392456055,18.747528295114193,18.137076613366425,18.24739908227345,102914736,TATASTEEL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,18.3724308013916,18.633528976810325,18.14810776345558,18.394496472848832,45176020,TATASTEEL.NS,2015-08-19,2015-33,2015-08,-0.18754959106445312,down
2015-08-20,17.765655517578125,18.269462820462234,17.68843008577613,18.217978217648238,48558371,TATASTEEL.NS,2015-08-20,2015-33,2015-08,-0.6067752838134766,down
2015-08-21,17.44939613342285,17.541332503580602,17.02649236450281,17.541332503580602,55073372,TATASTEEL.NS,2015-08-21,2015-33,2015-08,-0.31625938415527344,down
2015-08-24,15.158358573913574,16.864684508214715,14.904615146469814,16.864684508214715,122924725,TATASTEEL.NS,2015-08-24,2015-34,2015-08,-2.2910375595092773,down
2015-08-25,15.698938369750977,16.026230571490967,14.717066181787487,15.445196433265556,149117094,TATASTEEL.NS,2015-08-25,2015-34,2015-08,0.5405797958374023,up
2015-08-26,15.860747337341309,16.158619174513504,15.367972868868991,15.66584323362218,87502491,TATASTEEL.NS,2015-08-26,2015-34,2015-08,0.16180896759033203,up
2015-08-27,16.65139389038086,16.901459208895005,15.820294406130355,16.18068218291227,149329084,TATASTEEL.NS,2015-08-27,2015-34,2015-08,0.7906465530395508,up
2015-08-28,16.83894157409668,17.254490575055797,16.416037840835365,17.107394456592967,98529305,TATASTEEL.NS,2015-08-28,2015-34,2015-08,0.1875476837158203,up
2015-08-31,16.57784652709961,16.82055566178541,16.449136490521507,16.57049179407392,60691871,TATASTEEL.NS,2015-08-31,2015-35,2015-08,-0.2610950469970703,down
2015-09-01,15.90855598449707,16.640364525452725,15.669523450933948,16.32778318023498,67964731,TATASTEEL.NS,2015-09-01,2015-35,2015-09,-0.6692905426025391,down
2015-09-02,16.14390754699707,16.61461775364871,15.467260428595058,16.099779155319798,93517658,TATASTEEL.NS,2015-09-02,2015-35,2015-09,0.2353515625,up
2015-09-03,16.897783279418945,17.114751593869478,16.3351366085147,16.43074961429774,74343734,TATASTEEL.NS,2015-09-03,2015-35,2015-09,0.753875732421875,up
2015-09-04,16.099781036376953,16.835266096280854,15.960038168234101,16.835266096280854,75885083,TATASTEEL.NS,2015-09-04,2015-35,2015-09,-0.7980022430419922,down
2015-09-07,15.875456809997559,16.47487711485448,15.823973679458494,16.272619750536794,51786367,TATASTEEL.NS,2015-09-07,2015-36,2015-09,-0.22432422637939453,down
2015-09-08,16.824235916137695,17.136817263171707,15.982104889016465,16.07771790299728,86455360,TATASTEEL.NS,2015-09-08,2015-36,2015-09,0.9487791061401367,up
2015-09-09,17.614883422851562,17.78404377282052,17.08901038496128,17.3574633223661,92617483,TATASTEEL.NS,2015-09-09,2015-36,2015-09,0.7906475067138672,up
2015-09-10,17.666364669799805,17.872301611611466,17.03384732316325,17.383202295070657,76121455,TATASTEEL.NS,2015-09-10,2015-36,2015-09,0.05148124694824219,up
2015-09-11,17.13313865661621,17.90907551614122,16.9823644190659,17.89804415267354,62026952,TATASTEEL.NS,2015-09-11,2015-36,2015-09,-0.5332260131835938,down
2015-09-14,17.784040451049805,17.890686279953286,17.210362486780536,17.210362486780536,75142895,TATASTEEL.NS,2015-09-14,2015-37,2015-09,0.6509017944335938,up
2015-09-15,16.81319808959961,17.93481456427235,16.80584483023465,17.78036225197641,96020858,TATASTEEL.NS,2015-09-15,2015-37,2015-09,-0.9708423614501953,down
2015-09-16,16.95294189453125,17.162555443237487,16.702876582523476,17.063265822347436,75483671,TATASTEEL.NS,2015-09-16,2015-37,2015-09,0.13974380493164062,up
2015-09-18,16.776430130004883,17.31333456712834,16.72494699002879,17.21036681475688,80082004,TATASTEEL.NS,2015-09-18,2015-37,2015-09,-0.1765117645263672,down
2015-09-21,16.655071258544922,16.864684821995425,16.408684031514923,16.644039895680553,56410300,TATASTEEL.NS,2015-09-21,2015-38,2015-09,-0.12135887145996094,down
2015-09-22,16.188039779663086,16.835268123850216,16.121847176441438,16.769074048209415,53514064,TATASTEEL.NS,2015-09-22,2015-38,2015-09,-0.46703147888183594,down
2015-09-23,16.254230499267578,16.478553511583616,15.739390412661887,15.768810813771745,75514887,TATASTEEL.NS,2015-09-23,2015-38,2015-09,0.06619071960449219,up
2015-09-24,15.823974609375,16.235845567567665,15.761458639551373,16.180684331110402,59139281,TATASTEEL.NS,2015-09-24,2015-38,2015-09,-0.4302558898925781,down
2015-09-28,15.390034675598145,16.066680307012955,15.33487197856101,16.0115190823946,60148920,TATASTEEL.NS,2015-09-28,2015-39,2015-09,-0.43393993377685547,down
2015-09-29,14.812679290771484,15.202487492981726,14.687647360202305,15.077455562412545,126852012,TATASTEEL.NS,2015-09-29,2015-39,2015-09,-0.5773553848266602,down
