Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TATATECH.NS,TATATECH.NS,TATATECH.NS,TATATECH.NS,TATATECH.NS,,,,,,
Date,,,,,,,,,,,
2023-11-30,1280.343505859375,1365.1796711371858,1170.1540038318735,1170.1540038318735,46579440,TATATECH.NS,2023-11-30,2023-48,2023-11,,no change
2023-12-01,1190.24169921875,1314.4730809753426,1181.4655436336031,1305.9895115233917,18681410,TATATECH.NS,2023-12-01,2023-48,2023-12,-90.101806640625,down
2023-12-04,1162.9869384765625,1203.3084749947006,1122.519108888005,1190.2417303086575,14740750,TATATECH.NS,2023-12-04,2023-49,2023-12,-27.2547607421875,down
2023-12-05,1162.206787109375,1191.5581288339113,1145.775896989185,1162.9869374614432,4422358,TATATECH.NS,2023-12-05,2023-49,2023-12,-0.7801513671875,down
2023-12-06,1158.9400634765625,1177.418698406315,1151.6266007284985,1172.104296423078,2735968,TATATECH.NS,2023-12-06,2023-49,2023-12,-3.2667236328125,down
2023-12-07,1156.209716796875,1169.1789723608588,1150.651532431871,1163.27939782241,1624651,TATATECH.NS,2023-12-07,2023-49,2023-12,-2.7303466796875,down
2023-12-08,1162.889404296875,1189.3640447484574,1158.6963046235326,1159.4276509130068,2528210,TATATECH.NS,2023-12-08,2023-49,2023-12,6.6796875,up
2023-12-11,1206.5750732421875,1238.1204524252291,1163.3281535373953,1169.1789237982707,8017469,TATATECH.NS,2023-12-11,2023-50,2023-12,43.6856689453125,up
2023-12-12,1202.5771484375,1231.6360235585419,1199.4079810080073,1222.811063564261,2426780,TATATECH.NS,2023-12-12,2023-50,2023-12,-3.9979248046875,down
2023-12-13,1219.251708984375,1252.8449520725674,1205.4049340238764,1213.0596677668468,4281933,TATATECH.NS,2023-12-13,2023-50,2023-12,16.674560546875,up
2023-12-14,1212.377197265625,1243.2887201851643,1209.3055189736158,1238.4130781452225,1992554,TATATECH.NS,2023-12-14,2023-50,2023-12,-6.87451171875,down
