Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,,,
Date,,,,,,,,,,,
2015-07-30,1060.2528076171875,1075.7037159737508,1056.8977073180838,1075.3831590080292,2770574,TCS.NS,2015-07-30,2015-30,2015-07,,no change
2015-07-31,1073.117919921875,1076.6440467124178,1062.966948858191,1064.20639411204,1963776,TCS.NS,2015-07-31,2015-30,2015-07,12.8651123046875,up
2015-08-03,1072.6263427734375,1079.208403774101,1068.9077986563182,1069.9763218283717,1179324,TCS.NS,2015-08-03,2015-31,2015-08,-0.4915771484375,down
2015-08-04,1072.3271484375,1078.3536612921148,1062.5395172303597,1072.9682623859494,2342692,TCS.NS,2015-08-04,2015-31,2015-08,-0.2991943359375,down
2015-08-05,1088.67529296875,1089.8934509177786,1073.2244922566833,1077.0711750246282,988994,TCS.NS,2015-08-05,2015-31,2015-08,16.34814453125,up
2015-08-06,1099.8526611328125,1103.998511560983,1089.9367836407346,1096.3051421424395,2211366,TCS.NS,2015-08-06,2015-31,2015-08,11.1773681640625,up
2015-08-07,1090.7698974609375,1099.7241012008096,1088.6114596807083,1099.7241012008096,1188506,TCS.NS,2015-08-07,2015-31,2015-08,-9.082763671875,down
2015-08-10,1099.33935546875,1106.562529935013,1092.7145122033994,1099.2965728052736,1431182,TCS.NS,2015-08-10,2015-32,2015-08,8.5694580078125,up
2015-08-11,1113.0592041015625,1115.5381987461474,1086.5171509470722,1101.8611020565393,2200306,TCS.NS,2015-08-11,2015-32,2015-08,13.7198486328125,up
2015-08-12,1141.9095458984375,1150.3294892708323,1112.1191349067735,1112.589326933592,3479784,TCS.NS,2015-08-12,2015-32,2015-08,28.850341796875,up
2015-08-13,1126.480224609375,1147.1667972467578,1092.4583955896844,1141.1830658155154,1406426,TCS.NS,2015-08-13,2015-32,2015-08,-15.4293212890625,down
2015-08-14,1155.3729248046875,1162.275648360741,1127.1212296045594,1127.505856277287,2293964,TCS.NS,2015-08-14,2015-32,2015-08,28.8927001953125,up
2015-08-17,1147.48681640625,1152.6371179864063,1134.7713930751815,1149.7734972990827,773644,TCS.NS,2015-08-17,2015-33,2015-08,-7.8861083984375,down
2015-08-18,1171.486083984375,1175.3327676034462,1149.7309928112613,1156.9541680901064,1916926,TCS.NS,2015-08-18,2015-33,2015-08,23.999267578125,up
2015-08-19,1168.365966796875,1176.5935948541478,1163.365195096683,1175.3754367532372,1690070,TCS.NS,2015-08-19,2015-33,2015-08,-3.1201171875,down
2015-08-20,1148.3846435546875,1173.2384509680667,1142.0375741299358,1173.2384509680667,2349298,TCS.NS,2015-08-20,2015-33,2015-08,-19.9813232421875,down
2015-08-21,1143.811767578125,1166.7850257104444,1134.8148820577371,1159.1344382297693,3536080,TCS.NS,2015-08-21,2015-33,2015-08,-4.5728759765625,down
2015-08-24,1102.1387939453125,1130.4974387316975,1098.0571191855367,1127.932983294121,4692344,TCS.NS,2015-08-24,2015-34,2015-08,-41.6729736328125,down
2015-08-25,1097.223876953125,1120.6673216645938,1083.6964126928215,1106.0926210128277,3925800,TCS.NS,2015-08-25,2015-34,2015-08,-4.9149169921875,down
