Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,551.2539672851562,560.0306727233036,535.5678338432084,539.6294443548162,45308,TIMKEN.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,560.9644775390625,563.3921210383444,548.2662362705584,554.6153569048105,28271,TIMKEN.NS,2015-08-19,2015-33,2015-08,9.71051025390625,up
2015-08-20,561.524658203125,572.6822770506946,551.8141994114076,564.7925933942247,78180,TIMKEN.NS,2015-08-20,2015-33,2015-08,0.5601806640625,up
2015-08-21,547.379150390625,567.0801085304859,543.0374422233496,567.0801085304859,19842,TIMKEN.NS,2015-08-21,2015-33,2015-08,-14.1455078125,down
2015-08-24,505.3628234863281,539.1159475639084,490.6571154587814,539.1159475639084,63720,TIMKEN.NS,2015-08-24,2015-34,2015-08,-42.016326904296875,down
2015-08-25,498.12664794921875,517.2674094917847,463.4398589501753,508.8641483267558,81047,TIMKEN.NS,2015-08-25,2015-34,2015-08,-7.236175537109375,down
2015-08-26,505.3161926269531,508.6308014128984,490.79723392461534,504.1957462376597,22366,TIMKEN.NS,2015-08-26,2015-34,2015-08,7.189544677734375,up
2015-08-27,528.9852905273438,536.7816838608431,509.097583398825,509.097583398825,23566,TIMKEN.NS,2015-08-27,2015-34,2015-08,23.669097900390625,up
2015-08-28,532.8601684570312,545.6518114504676,528.0049392274021,532.2999168219211,29248,TIMKEN.NS,2015-08-28,2015-34,2015-08,3.8748779296875,up
2015-08-31,538.8358764648438,541.543617346888,526.884580445188,535.0077461030463,27623,TIMKEN.NS,2015-08-31,2015-35,2015-08,5.9757080078125,up
2015-09-01,528.7518310546875,537.8086901863809,516.6137876997865,534.260658141831,14572,TIMKEN.NS,2015-09-01,2015-35,2015-09,-10.08404541015625,down
2015-09-02,527.91162109375,539.2093173281759,521.0022494703413,533.9806437130281,30421,TIMKEN.NS,2015-09-02,2015-35,2015-09,-0.8402099609375,down
2015-09-03,537.5286254882812,545.2782883948709,529.2187109691502,535.941331401808,21270,TIMKEN.NS,2015-09-03,2015-35,2015-09,9.61700439453125,up
2015-09-04,530.8993530273438,534.3540385202193,509.33100512004046,533.1402455060369,36002,TIMKEN.NS,2015-09-04,2015-35,2015-09,-6.6292724609375,down
2015-09-07,522.7763061523438,538.7424816878188,509.3310637100609,538.7424816878188,54786,TIMKEN.NS,2015-09-07,2015-36,2015-09,-8.123046875,down
2015-09-08,516.0536499023438,523.8033131918426,513.3925828348803,523.7566398022237,21538,TIMKEN.NS,2015-09-08,2015-36,2015-09,-6.72265625,down
2015-09-09,530.8526611328125,534.9609448711018,518.201096217409,522.5894772587042,30579,TIMKEN.NS,2015-09-09,2015-36,2015-09,14.79901123046875,up
2015-09-10,525.1105346679688,531.0861535261903,519.3216093769821,528.3784699303342,11663,TIMKEN.NS,2015-09-10,2015-36,2015-09,-5.74212646484375,down
2015-09-11,529.172119140625,534.0273489229837,524.7370638853661,527.6314982040159,19067,TIMKEN.NS,2015-09-11,2015-36,2015-09,4.06158447265625,up
2015-09-14,533.933837890625,543.6442955047341,518.2010888881537,527.6781225883492,15580,TIMKEN.NS,2015-09-14,2015-37,2015-09,4.76171875,up
