Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,217.52182006835938,220.34861427651052,216.39109088284383,216.4853231075764,1106748,TVSMOTOR.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,216.6266326904297,221.43218805465767,215.59015022409824,217.5688973204495,870703,TVSMOTOR.NS,2015-08-19,2015-33,2015-08,-0.8951873779296875,down
2015-08-20,218.3227081298828,219.31208884988177,214.3180835214532,216.2497288552003,1326677,TVSMOTOR.NS,2015-08-20,2015-33,2015-08,1.696075439453125,up
2015-08-21,216.2496795654297,217.7101922594082,209.7480609636076,216.72081176491864,849388,TVSMOTOR.NS,2015-08-21,2015-33,2015-08,-2.073028564453125,down
2015-08-24,203.29356384277344,209.88941527683792,189.39516260670896,207.29818792774117,2556175,TVSMOTOR.NS,2015-08-24,2015-34,2015-08,-12.95611572265625,down
2015-08-25,210.83168029785156,216.72083337879712,201.64460149157645,204.09449492437588,1507013,TVSMOTOR.NS,2015-08-25,2015-34,2015-08,7.538116455078125,up
2015-08-26,215.16612243652344,216.67373713672927,209.1827366067795,210.59613347574424,823734,TVSMOTOR.NS,2015-08-26,2015-34,2015-08,4.334442138671875,up
2015-08-27,213.4228973388672,219.35916623312704,210.12497177292443,218.60535179963438,1018074,TVSMOTOR.NS,2015-08-27,2015-34,2015-08,-1.74322509765625,down
2015-08-28,208.33468627929688,217.38041683429225,207.29818958026945,215.63723613951092,793142,TVSMOTOR.NS,2015-08-28,2015-34,2015-08,-5.0882110595703125,down
2015-08-31,210.73744201660156,212.76331924467925,204.04737293637842,207.29818246769523,1048835,TVSMOTOR.NS,2015-08-31,2015-35,2015-08,2.4027557373046875,up
2015-09-01,204.330078125,212.85756099666233,190.3374434840786,210.8788140227751,1878887,TVSMOTOR.NS,2015-09-01,2015-35,2015-09,-6.4073638916015625,down
2015-09-02,208.80580139160156,211.06723025030058,203.85891318261014,206.82704035687937,1011683,TVSMOTOR.NS,2015-09-02,2015-35,2015-09,4.4757232666015625,up
2015-09-03,208.75872802734375,211.96242196259047,205.41368577336095,211.5384057620162,1005268,TVSMOTOR.NS,2015-09-03,2015-35,2015-09,-0.0470733642578125,down
2015-09-04,210.3134765625,211.91532366473524,203.15227352373714,206.45019994861715,1128234,TVSMOTOR.NS,2015-09-04,2015-35,2015-09,1.55474853515625,up
2015-09-07,205.7434844970703,213.3758192541316,204.56565372797286,211.067273822264,701610,TVSMOTOR.NS,2015-09-07,2015-36,2015-09,-4.5699920654296875,down
2015-09-08,207.95779418945312,209.27697325516004,202.96378893761164,205.97904715761788,832198,TVSMOTOR.NS,2015-09-08,2015-36,2015-09,2.2143096923828125,up
2015-09-09,213.98828125,216.20259427642526,208.287577948333,210.83168931251868,940053,TVSMOTOR.NS,2015-09-09,2015-36,2015-09,6.030487060546875,up
2015-09-10,216.01414489746094,217.5688756308747,209.1827270108455,209.1827270108455,827567,TVSMOTOR.NS,2015-09-10,2015-36,2015-09,2.0258636474609375,up
2015-09-11,220.8197021484375,222.37443289850833,215.59013104157464,218.4640407829872,998844,TVSMOTOR.NS,2015-09-11,2015-36,2015-09,4.8055572509765625,up
2015-09-14,218.3227081298828,222.18599879737704,217.47467572863627,220.91393581769023,509548,TVSMOTOR.NS,2015-09-14,2015-37,2015-09,-2.4969940185546875,down
2015-09-15,218.88803100585938,219.92451325710164,216.29680381103236,219.31204712581368,638886,TVSMOTOR.NS,2015-09-15,2015-37,2015-09,0.5653228759765625,up
2015-09-16,219.92454528808594,227.46266186183786,217.1448676770782,218.69961284710433,4586697,TVSMOTOR.NS,2015-09-16,2015-37,2015-09,1.0365142822265625,up
2015-09-18,222.23312377929688,225.5781517894448,217.66313446897283,223.12827232254517,1011560,TVSMOTOR.NS,2015-09-18,2015-37,2015-09,2.3085784912109375,up
2015-09-21,220.30145263671875,223.26958019075767,218.18135741874357,218.18135741874357,516615,TVSMOTOR.NS,2015-09-21,2015-38,2015-09,-1.931671142578125,down
2015-09-22,217.4746856689453,223.03404139303902,214.83634175429398,221.19662818780927,561201,TVSMOTOR.NS,2015-09-22,2015-38,2015-09,-2.8267669677734375,down
2015-09-23,217.05062866210938,219.40628986149056,211.06724346455516,211.06724346455516,539354,TVSMOTOR.NS,2015-09-23,2015-38,2015-09,-0.4240570068359375,down
2015-09-24,222.3273162841797,224.35319368049605,214.506517693313,217.05064346439937,1261571,TVSMOTOR.NS,2015-09-24,2015-38,2015-09,5.2766876220703125,up
2015-09-28,218.7467041015625,224.25895733336174,217.66310564708638,223.12824277699193,431335,TVSMOTOR.NS,2015-09-28,2015-39,2015-09,-3.5806121826171875,down
2015-09-29,216.2496795654297,219.83028715710847,212.99887026451864,216.72081176491864,570692,TVSMOTOR.NS,2015-09-29,2015-39,2015-09,-2.4970245361328125,down
2015-09-30,216.76795959472656,219.02938873221572,214.836314418471,219.02938873221572,495259,TVSMOTOR.NS,2015-09-30,2015-39,2015-09,0.518280029296875,up
2015-10-01,216.39105224609375,220.4899088671872,214.83632146033625,217.33331681390223,423877,TVSMOTOR.NS,2015-10-01,2015-39,2015-10,-0.3769073486328125,down
2015-10-05,216.34393310546875,218.41691211222087,214.31805582106261,218.41691211222087,536789,TVSMOTOR.NS,2015-10-05,2015-40,2015-10,-0.047119140625,down
2015-10-06,216.95640563964844,221.33792990469752,215.82569109168242,219.0765008087655,666173,TVSMOTOR.NS,2015-10-06,2015-40,2015-10,0.6124725341796875,up
2015-10-07,227.46266174316406,230.61925380790234,214.83632223984364,217.42754981071894,4895587,TVSMOTOR.NS,2015-10-07,2015-40,2015-10,10.506256103515625,up
2015-10-08,226.56752014160156,233.6816207455059,225.24835545303588,229.25298000210202,2069303,TVSMOTOR.NS,2015-10-08,2015-40,2015-10,-0.8951416015625,down
2015-10-09,225.53102111816406,229.15873093376874,223.4580276488863,226.8973018117766,956881,TVSMOTOR.NS,2015-10-09,2015-40,2015-10,-1.0364990234375,down
2015-10-12,225.0598907470703,230.14811350328372,224.1647279333412,225.53102301626842,763140,TVSMOTOR.NS,2015-10-12,2015-41,2015-10,-0.47113037109375,down
2015-10-13,228.9702606201172,231.3259217376081,225.05986891620805,225.71945115354262,1209582,TVSMOTOR.NS,2015-10-13,2015-41,2015-10,3.910369873046875,up
2015-10-14,228.54627990722656,231.32595758100732,227.1799991229428,228.64049773983638,647563,TVSMOTOR.NS,2015-10-14,2015-41,2015-10,-0.423980712890625,down
2015-10-15,229.15875244140625,231.7970962498953,228.26360392901276,229.06453460620628,920175,TVSMOTOR.NS,2015-10-15,2015-41,2015-10,0.6124725341796875,up
2015-10-16,233.257568359375,234.57673284326165,228.21644778159438,229.44139444681173,1031615,TVSMOTOR.NS,2015-10-16,2015-41,2015-10,4.09881591796875,up
2015-10-19,232.69224548339844,237.45068469916336,231.09039850186434,234.3412085715871,802454,TVSMOTOR.NS,2015-10-19,2015-42,2015-10,-0.5653228759765625,down
2015-10-20,231.74998474121094,235.2834771321965,230.57215394421573,232.9749316456494,702116,TVSMOTOR.NS,2015-10-20,2015-42,2015-10,-0.9422607421875,down
2015-10-21,238.6284942626953,239.85344103773136,231.0903779582469,232.17397642588503,1599074,TVSMOTOR.NS,2015-10-21,2015-42,2015-10,6.878509521484375,up
2015-10-23,235.84886169433594,242.06780020389687,234.71814690876292,240.93708541832385,1342204,TVSMOTOR.NS,2015-10-23,2015-42,2015-10,-2.779632568359375,down
2015-10-26,230.61923217773438,237.92178191982813,228.9702693327455,236.5083851955519,689974,TVSMOTOR.NS,2015-10-26,2015-43,2015-10,-5.2296295166015625,down
2015-10-27,260.865966796875,266.75512069442215,226.99154207593014,230.57215052120222,12287024,TVSMOTOR.NS,2015-10-27,2015-43,2015-10,30.246734619140625,up
2015-10-28,256.0133056640625,260.441932071192,250.64238589268012,260.441932071192,6943408,TVSMOTOR.NS,2015-10-28,2015-43,2015-10,-4.8526611328125,down
2015-10-29,248.75784301757812,255.96616112662014,246.21371721173637,254.41143035888672,4831553,TVSMOTOR.NS,2015-10-29,2015-43,2015-10,-7.255462646484375,down
2015-10-30,250.17124938964844,253.37494325405777,247.15599119042005,248.42805414183306,2209161,TVSMOTOR.NS,2015-10-30,2015-43,2015-10,1.4134063720703125,up
2015-11-02,257.9449157714844,259.97077876523,247.20310585212692,251.20773011524585,3519564,TVSMOTOR.NS,2015-11-02,2015-44,2015-11,7.7736663818359375,up
2015-11-03,271.2779846191406,275.6124077224844,261.1015379901028,261.1015379901028,9209143,TVSMOTOR.NS,2015-11-03,2015-44,2015-11,13.33306884765625,up
2015-11-04,269.2049865722656,272.6442463409348,267.13199311287616,272.6442463409348,1521212,TVSMOTOR.NS,2015-11-04,2015-44,2015-11,-2.072998046875,down
2015-11-05,264.9648132324219,269.86457182895975,263.5042858699319,269.0636411792889,1380939,TVSMOTOR.NS,2015-11-05,2015-44,2015-11,-4.24017333984375,down
2015-11-06,266.94354248046875,271.230863548255,263.1273824556127,264.82344718763034,1541927,TVSMOTOR.NS,2015-11-06,2015-44,2015-11,1.978729248046875,up
2015-11-09,273.0211486816406,280.3236988189408,259.6409807987865,261.0072758751146,5770018,TVSMOTOR.NS,2015-11-09,2015-45,2015-11,6.077606201171875,up
2015-11-10,279.4756774902344,282.44380513755084,270.75973020909225,272.83269501176807,2947433,TVSMOTOR.NS,2015-11-10,2015-45,2015-11,6.45452880859375,up
2015-11-13,279.3343811035156,284.2341402776141,277.12005331304624,279.75838296405027,2255776,TVSMOTOR.NS,2015-11-13,2015-45,2015-11,-0.14129638671875,down
2015-11-16,278.7218017578125,280.7947949678802,275.61234069833876,278.91026614259243,1088647,TVSMOTOR.NS,2015-11-16,2015-46,2015-11,-0.612579345703125,down
2015-11-17,277.0257263183594,282.3966447594354,275.37676366170246,279.80541772754594,1170928,TVSMOTOR.NS,2015-11-17,2015-46,2015-11,-1.696075439453125,down
2015-11-18,269.6761474609375,279.56992603384515,267.8387199380009,277.02580004141515,1222024,TVSMOTOR.NS,2015-11-18,2015-46,2015-11,-7.349578857421875,down
2015-11-19,277.1671447753906,277.96807548979336,270.4299581883753,270.9010905197139,1606898,TVSMOTOR.NS,2015-11-19,2015-46,2015-11,7.490997314453125,up
2015-11-20,276.3661804199219,281.54863543380515,275.32971242165075,278.5334061336522,2168672,TVSMOTOR.NS,2015-11-20,2015-46,2015-11,-0.80096435546875,down
2015-11-23,276.9315490722656,280.18237331402423,274.623018148315,277.02578127960965,1304581,TVSMOTOR.NS,2015-11-23,2015-47,2015-11,0.56536865234375,up
2015-11-24,273.5865173339844,279.1458724175019,272.6913545108991,275.18834981262125,1892748,TVSMOTOR.NS,2015-11-24,2015-47,2015-11,-3.34503173828125,down
2015-11-26,280.8890075683594,284.0927005967666,273.5393284089979,274.1989249540931,5014432,TVSMOTOR.NS,2015-11-26,2015-47,2015-11,7.302490234375,up
2015-11-27,287.67340087890625,289.5108285427831,280.8419818164647,282.01981268929944,3716288,TVSMOTOR.NS,2015-11-27,2015-47,2015-11,6.784393310546875,up
2015-11-30,289.2751770019531,291.3952719474072,287.9560125647962,289.18094480880734,1979621,TVSMOTOR.NS,2015-11-30,2015-48,2015-11,1.601776123046875,up
2015-12-01,286.5897521972656,291.91354106198156,284.7052231297109,291.91354106198156,1391452,TVSMOTOR.NS,2015-12-01,2015-48,2015-12,-2.6854248046875,down
2015-12-02,272.5029602050781,281.78424440915416,268.59253873197736,281.7371426768474,4169062,TVSMOTOR.NS,2015-12-02,2015-48,2015-12,-14.0867919921875,down
2015-12-03,267.1319885253906,271.3250770962073,263.83406274112656,269.487649799865,2352362,TVSMOTOR.NS,2015-12-03,2015-48,2015-12,-5.3709716796875,down
2015-12-04,267.4618225097656,269.3934535100843,263.8811996418602,263.8811996418602,962933,TVSMOTOR.NS,2015-12-04,2015-48,2015-12,0.329833984375,up
2015-12-07,265.4830322265625,271.0423872212631,264.02253370236906,271.0423872212631,1235150,TVSMOTOR.NS,2015-12-07,2015-49,2015-12,-1.978790283203125,down
2015-12-08,259.2640686035156,268.07424733380174,257.2853074239151,262.2793264729669,846591,TVSMOTOR.NS,2015-12-08,2015-49,2015-12,-6.218963623046875,down
