Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,TVSSCS.NS,TVSSCS.NS,TVSSCS.NS,TVSSCS.NS,TVSSCS.NS,,,,,,
Date,,,,,,,,,,,
2023-08-23,201.0,208.60000610351562,199.0,207.0500030517578,24133600,TVSSCS.NS,2023-08-23,2023-34,2023-08,,no change
2023-08-24,199.10000610351562,202.89999389648438,193.8000030517578,201.0500030517578,2675099,TVSSCS.NS,2023-08-24,2023-34,2023-08,-1.899993896484375,down
2023-08-25,197.0500030517578,198.3000030517578,195.5,198.0500030517578,946520,TVSSCS.NS,2023-08-25,2023-34,2023-08,-2.0500030517578125,down
2023-08-28,197.39999389648438,198.9499969482422,195.10000610351562,198.9499969482422,601097,TVSSCS.NS,2023-08-28,2023-35,2023-08,0.3499908447265625,up
2023-08-29,200.0,201.85000610351562,197.39999389648438,197.4499969482422,1645512,TVSSCS.NS,2023-08-29,2023-35,2023-08,2.600006103515625,up
2023-08-30,200.3000030517578,204.10000610351562,200.0,201.10000610351562,1396819,TVSSCS.NS,2023-08-30,2023-35,2023-08,0.3000030517578125,up
2023-08-31,200.14999389648438,203.0500030517578,199.5500030517578,201.89999389648438,531338,TVSSCS.NS,2023-08-31,2023-35,2023-08,-0.1500091552734375,down
2023-09-01,200.1999969482422,202.0,196.6999969482422,201.8000030517578,540220,TVSSCS.NS,2023-09-01,2023-35,2023-09,0.0500030517578125,up
2023-09-04,200.0500030517578,202.9499969482422,199.3000030517578,202.39999389648438,786608,TVSSCS.NS,2023-09-04,2023-36,2023-09,-0.149993896484375,down
2023-09-05,200.0500030517578,202.6999969482422,199.85000610351562,202.0,633999,TVSSCS.NS,2023-09-05,2023-36,2023-09,0.0,no change
2023-09-06,201.0500030517578,203.6999969482422,199.75,200.0,557607,TVSSCS.NS,2023-09-06,2023-36,2023-09,1.0,up
2023-09-07,221.3000030517578,232.9499969482422,200.85000610351562,202.0,7039853,TVSSCS.NS,2023-09-07,2023-36,2023-09,20.25,up
2023-09-08,230.89999389648438,241.4499969482422,221.0,221.4499969482422,5421706,TVSSCS.NS,2023-09-08,2023-36,2023-09,9.599990844726562,up
2023-09-11,245.35000610351562,258.0,242.0,253.0,6766049,TVSSCS.NS,2023-09-11,2023-37,2023-09,14.45001220703125,up
2023-09-12,229.0500030517578,244.0,225.0,244.0,3008560,TVSSCS.NS,2023-09-12,2023-37,2023-09,-16.300003051757812,down
2023-09-13,221.35000610351562,232.85000610351562,217.9499969482422,230.85000610351562,2810594,TVSSCS.NS,2023-09-13,2023-37,2023-09,-7.6999969482421875,down
2023-09-14,226.14999389648438,227.6999969482422,216.8000030517578,223.60000610351562,4628575,TVSSCS.NS,2023-09-14,2023-37,2023-09,4.79998779296875,up
2023-09-15,222.39999389648438,229.5,221.0,227.5,1424989,TVSSCS.NS,2023-09-15,2023-37,2023-09,-3.75,down
2023-09-18,222.64999389648438,224.5,220.5500030517578,222.39999389648438,1172985,TVSSCS.NS,2023-09-18,2023-38,2023-09,0.25,up
2023-09-20,214.64999389648438,222.75,213.0,221.0,1582128,TVSSCS.NS,2023-09-20,2023-38,2023-09,-8.0,down
2023-09-21,214.14999389648438,218.64999389648438,212.10000610351562,215.89999389648438,1253075,TVSSCS.NS,2023-09-21,2023-38,2023-09,-0.5,down
2023-09-22,213.4499969482422,217.8000030517578,211.3000030517578,214.9499969482422,463679,TVSSCS.NS,2023-09-22,2023-38,2023-09,-0.6999969482421875,down
2023-09-25,210.4499969482422,215.39999389648438,209.5500030517578,214.89999389648438,714959,TVSSCS.NS,2023-09-25,2023-39,2023-09,-3.0,down
2023-09-26,210.10000610351562,212.5,209.0,211.5,697093,TVSSCS.NS,2023-09-26,2023-39,2023-09,-0.3499908447265625,down
2023-09-27,211.5,214.89999389648438,208.0500030517578,210.9499969482422,2146030,TVSSCS.NS,2023-09-27,2023-39,2023-09,1.399993896484375,up
2023-09-28,217.0500030517578,221.35000610351562,213.6999969482422,213.6999969482422,4189468,TVSSCS.NS,2023-09-28,2023-39,2023-09,5.5500030517578125,up
2023-09-29,215.5500030517578,222.5,214.75,221.8000030517578,2490124,TVSSCS.NS,2023-09-29,2023-39,2023-09,-1.5,down
2023-10-03,214.14999389648438,215.35000610351562,213.5,215.0,462948,TVSSCS.NS,2023-10-03,2023-40,2023-10,-1.4000091552734375,down
2023-10-04,214.25,215.1999969482422,210.8000030517578,213.0,940862,TVSSCS.NS,2023-10-04,2023-40,2023-10,0.100006103515625,up
2023-10-05,211.5500030517578,216.75,210.5,216.6999969482422,1588150,TVSSCS.NS,2023-10-05,2023-40,2023-10,-2.6999969482421875,down
2023-10-06,216.1999969482422,218.0,210.6999969482422,212.39999389648438,1255675,TVSSCS.NS,2023-10-06,2023-40,2023-10,4.649993896484375,up
2023-10-09,210.9499969482422,215.0,210.0500030517578,215.0,1103443,TVSSCS.NS,2023-10-09,2023-41,2023-10,-5.25,down
2023-10-10,211.10000610351562,214.0,210.5,211.75,1036483,TVSSCS.NS,2023-10-10,2023-41,2023-10,0.1500091552734375,up
