Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,3002.748779296875,3018.6338468835693,2942.3761960916236,2957.301443695207,289898,ULTRACEMCO.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,3034.279052734375,3054.3872351323707,2985.0402392212027,3018.633939662599,237756,ULTRACEMCO.NS,2015-08-19,2015-33,2015-08,31.5302734375,up
2015-08-20,2922.699462890625,3042.5808676759602,2899.615748775809,3034.9503467822274,294583,ULTRACEMCO.NS,2015-08-20,2015-33,2015-08,-111.57958984375,down
2015-08-21,2853.448486328125,2908.254296338063,2808.2411096470328,2908.254296338063,475339,ULTRACEMCO.NS,2015-08-21,2015-33,2015-08,-69.2509765625,down
2015-08-24,2727.9521484375,2794.083882894825,2687.495831703381,2794.083882894825,495165,ULTRACEMCO.NS,2015-08-24,2015-34,2015-08,-125.496337890625,down
2015-08-25,2775.990966796875,2822.4941923917645,2678.8572433212275,2731.839253005124,760739,ULTRACEMCO.NS,2015-08-25,2015-34,2015-08,48.038818359375,up
2015-08-26,2788.373046875,2808.4331902155504,2735.4868735865753,2765.241292211552,569258,ULTRACEMCO.NS,2015-08-26,2015-34,2015-08,12.382080078125,up
2015-08-27,2784.485595703125,2823.790174136335,2737.3103065461096,2807.4732356725967,653750,ULTRACEMCO.NS,2015-08-27,2015-34,2015-08,-3.887451171875,down
2015-08-28,2828.349609375,2849.6095288257984,2795.091939820804,2795.091939820804,403751,ULTRACEMCO.NS,2015-08-28,2015-34,2015-08,43.864013671875,up
2015-08-31,2773.6875,2836.603739181562,2762.745412911759,2829.548969422946,303137,ULTRACEMCO.NS,2015-08-31,2015-35,2015-08,-54.662109375,down
2015-09-01,2720.225830078125,2788.276971202244,2666.2359575720575,2724.928854128458,263764,ULTRACEMCO.NS,2015-09-01,2015-35,2015-09,-53.461669921875,down
2015-09-02,2770.13623046875,2793.075831711566,2729.103930879173,2754.6830367739503,240078,ULTRACEMCO.NS,2015-09-02,2015-35,2015-09,49.910400390625,up
2015-09-03,2883.203125,2900.575960254793,2767.1609839227553,2767.1609839227553,233282,ULTRACEMCO.NS,2015-09-03,2015-35,2015-09,113.06689453125,up
2015-09-04,2797.97119140625,2874.660710621637,2774.935512923806,2874.660710621637,382219,ULTRACEMCO.NS,2015-09-04,2015-35,2015-09,-85.23193359375,down
2015-09-07,2739.662353515625,2826.86186127872,2735.4870427180003,2794.9958836473043,186676,ULTRACEMCO.NS,2015-09-07,2015-36,2015-09,-58.308837890625,down
2015-09-08,2768.0244140625,2778.678508293027,2696.1339999292272,2747.484362690428,289885,ULTRACEMCO.NS,2015-09-08,2015-36,2015-09,28.362060546875,up
2015-09-09,2865.062744140625,2878.5002243476497,2793.076243031564,2793.076243031564,211211,ULTRACEMCO.NS,2015-09-09,2015-36,2015-09,97.038330078125,up
2015-09-10,2845.2900390625,2859.2554655779327,2785.4934463110517,2813.2321478956583,156082,ULTRACEMCO.NS,2015-09-10,2015-36,2015-09,-19.772705078125,down
2015-09-11,2823.98193359375,2877.396049181348,2806.22526625689,2873.5567697571623,120249,ULTRACEMCO.NS,2015-09-11,2015-36,2015-09,-21.30810546875,down
2015-09-14,2830.50927734375,2844.4747056902443,2802.770572122213,2829.5494573107408,126730,ULTRACEMCO.NS,2015-09-14,2015-37,2015-09,6.52734375,up
2015-09-15,2802.674560546875,2844.9066429660747,2786.261543874259,2844.9066429660747,146660,ULTRACEMCO.NS,2015-09-15,2015-37,2015-09,-27.834716796875,down
2015-09-16,2816.01513671875,2849.704904464864,2794.1792368950464,2808.9606019896914,299661,ULTRACEMCO.NS,2015-09-16,2015-37,2015-09,13.340576171875,up
2015-09-18,2819.903076171875,2897.648494904694,2803.634174303255,2826.6698539277936,486571,ULTRACEMCO.NS,2015-09-18,2015-37,2015-09,3.887939453125,up
2015-09-21,2789.428955078125,2809.2971830519946,2757.611014465201,2807.377542970827,203198,ULTRACEMCO.NS,2015-09-21,2015-38,2015-09,-30.47412109375,down
2015-09-22,2695.654052734375,2818.271038754249,2677.8973854829646,2807.4730654256887,304070,ULTRACEMCO.NS,2015-09-22,2015-38,2015-09,-93.77490234375,down
2015-09-23,2671.1787109375,2692.2947481781125,2646.703304135881,2677.46557798216,485984,ULTRACEMCO.NS,2015-09-23,2015-38,2015-09,-24.475341796875,down
2015-09-24,2698.149658203125,2714.370519840344,2617.380677701911,2671.178626844299,287716,ULTRACEMCO.NS,2015-09-24,2015-38,2015-09,26.970947265625,up
2015-09-28,2608.598388671875,2677.9453715975724,2602.3115219002975,2677.897333739725,404543,ULTRACEMCO.NS,2015-09-28,2015-39,2015-09,-89.55126953125,down
2015-09-29,2601.54443359375,2651.023208334568,2516.696427537345,2591.5143600663773,386494,ULTRACEMCO.NS,2015-09-29,2015-39,2015-09,-7.053955078125,down
2015-09-30,2565.982177734375,2631.3940381655752,2545.730120409755,2615.220980688796,755747,ULTRACEMCO.NS,2015-09-30,2015-39,2015-09,-35.562255859375,down
2015-10-01,2662.012451171875,2667.8194084251913,2561.759309619297,2562.7191295179928,677149,ULTRACEMCO.NS,2015-10-01,2015-39,2015-10,96.0302734375,up
2015-10-05,2703.284912109375,2716.2905195905855,2669.451258110941,2679.62544354218,556333,ULTRACEMCO.NS,2015-10-05,2015-40,2015-10,41.2724609375,up
2015-10-06,2656.58984375,2718.9301059045283,2642.528340146689,2718.114165171835,374824,ULTRACEMCO.NS,2015-10-06,2015-40,2015-10,-46.695068359375,down
2015-10-07,2642.8642578125,2677.897686325359,2625.2036642946,2645.2638077106412,445272,ULTRACEMCO.NS,2015-10-07,2015-40,2015-10,-13.7255859375,down
2015-10-08,2704.4365234375,2714.562670533027,2637.7770763770486,2644.2078230214042,238149,ULTRACEMCO.NS,2015-10-08,2015-40,2015-10,61.572265625,up
2015-10-09,2705.492431640625,2763.3696203704,2689.223530669561,2716.2904058689023,256063,ULTRACEMCO.NS,2015-10-09,2015-40,2015-10,1.055908203125,up
2015-10-12,2730.447998046875,2754.683453517719,2699.1577717065497,2725.8888529583005,95846,ULTRACEMCO.NS,2015-10-12,2015-41,2015-10,24.95556640625,up
2015-10-13,2790.19677734375,2801.138631757773,2725.888836483058,2729.728116534443,252692,ULTRACEMCO.NS,2015-10-13,2015-41,2015-10,59.748779296875,up
2015-10-14,2789.812744140625,2817.0715368293168,2774.599504289386,2789.9566233998694,135500,ULTRACEMCO.NS,2015-10-14,2015-41,2015-10,-0.384033203125,down
2015-10-15,2828.301513671875,2851.6732241277837,2790.292782720193,2807.4734667845046,203797,ULTRACEMCO.NS,2015-10-15,2015-41,2015-10,38.48876953125,up
