Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,VBL.NS,VBL.NS,VBL.NS,VBL.NS,VBL.NS,,,,,,
Date,,,,,,,,,,,
2016-11-08,26.483917236328125,27.18996244374254,24.025726256313824,24.783644157700614,305744118,VBL.NS,2016-11-08,2016-45,2016-11,,no change
2016-11-09,25.034366607666016,25.936375050698803,22.65110145887939,22.65110145887939,13691733,VBL.NS,2016-11-09,2016-45,2016-11,-1.4495506286621094,down
2016-11-10,25.149633407592773,26.564606635628913,24.970961829900915,25.705824358613768,7757505,VBL.NS,2016-11-10,2016-45,2016-11,0.11526679992675781,up
2016-11-11,25.397472381591797,25.93637184493706,24.780762019947247,25.014189149503352,5469221,VBL.NS,2016-11-11,2016-45,2016-11,0.24783897399902344,up
2016-11-15,25.25050163269043,25.630902055507814,24.78364732723395,25.244737793165942,6065128,VBL.NS,2016-11-15,2016-46,2016-11,-0.1469707489013672,down
2016-11-16,25.112171173095703,25.763460822345365,24.841278177716664,25.36000695882183,1348363,VBL.NS,2016-11-16,2016-46,2016-11,-0.13833045959472656,down
2016-11-17,25.37153434753418,25.61360816468612,24.841279711532895,24.841279711532895,3663039,VBL.NS,2016-11-17,2016-46,2016-11,0.25936317443847656,up
2016-11-18,25.388826370239258,25.648191709529605,25.071826350122134,25.351364198724646,1428705,VBL.NS,2016-11-18,2016-46,2016-11,0.017292022705078125,up
2016-11-21,25.354244232177734,25.486808816363904,24.898917656085274,24.898917656085274,1251720,VBL.NS,2016-11-21,2016-47,2016-11,-0.03458213806152344,down
2016-11-22,25.40611457824707,25.613605338561175,24.907560184146373,24.907560184146373,1221176,VBL.NS,2016-11-22,2016-47,2016-11,0.05187034606933594,up
2016-11-23,25.544445037841797,25.648192288970165,24.973845359762855,25.100646112719957,2689098,VBL.NS,2016-11-23,2016-47,2016-11,0.13833045959472656,up
2016-11-24,25.267793655395508,25.466637774944076,25.14675673319462,25.293728151101973,464197,VBL.NS,2016-11-24,2016-47,2016-11,-0.27665138244628906,down
2016-11-25,25.1553955078125,25.417641800247893,25.014186108432956,25.12945916323722,752574,VBL.NS,2016-11-25,2016-47,2016-11,-0.11239814758300781,down
2016-11-28,24.662607192993164,25.36000756807549,24.498344280854226,25.36000756807549,765365,VBL.NS,2016-11-28,2016-48,2016-11,-0.49278831481933594,down
2016-11-29,25.077587127685547,25.357124942161303,24.527160039007363,24.743297486176992,671911,VBL.NS,2016-11-29,2016-48,2016-11,0.4149799346923828,up
2016-11-30,25.32254409790039,25.44358100456021,24.95655424114208,24.95655424114208,881988,VBL.NS,2016-11-30,2016-48,2016-11,0.24495697021484375,up
2016-12-01,24.95943260192871,25.354241611565165,24.898915082535225,25.08046949582939,290604,VBL.NS,2016-12-01,2016-48,2016-12,-0.3631114959716797,down
2016-12-02,24.904678344726562,25.30237022148978,24.844160822225117,24.844160822225117,321485,VBL.NS,2016-12-02,2016-48,2016-12,-0.05475425720214844,down
2016-12-05,24.927734375,25.1294613105885,24.610734374756973,24.79517164922699,412846,VBL.NS,2016-12-05,2016-49,2016-12,0.0230560302734375,up
2016-12-06,24.38018798828125,25.07182451379906,24.21880607048997,25.07182451379906,330007,VBL.NS,2016-12-06,2016-49,2016-12,-0.54754638671875,down
2016-12-07,23.668380737304688,24.5502184404382,23.486826298006548,24.238980403670272,841590,VBL.NS,2016-12-07,2016-49,2016-12,-0.7118072509765625,down
2016-12-08,24.365781784057617,24.780763370326525,23.69143670637064,23.743309404654255,658800,VBL.NS,2016-12-08,2016-49,2016-12,0.6974010467529297,up
2016-12-09,23.930622100830078,24.518511307380503,23.864340747412175,24.51274932457337,316119,VBL.NS,2016-12-09,2016-49,2016-12,-0.43515968322753906,down
2016-12-12,24.25339126586914,24.32255362601017,23.342736209614937,23.342736209614937,337820,VBL.NS,2016-12-12,2016-50,2016-12,0.3227691650390625,up
2016-12-13,24.068952560424805,24.27644333886496,23.74618871504814,23.74618871504814,121365,VBL.NS,2016-12-13,2016-50,2016-12,-0.18443870544433594,down
2016-12-14,24.008432388305664,24.26491484120812,23.950795861191477,24.26491484120812,270691,VBL.NS,2016-12-14,2016-50,2016-12,-0.060520172119140625,down
2016-12-15,24.21303939819336,24.264913940272386,23.63091216555626,23.63091216555626,394183,VBL.NS,2016-12-15,2016-50,2016-12,0.2046070098876953,up
2016-12-16,23.800945281982422,24.55309938623058,23.688553202076257,23.94791854141373,1062399,VBL.NS,2016-12-16,2016-50,2016-12,-0.4120941162109375,down
2016-12-19,23.68855094909668,23.921978062696958,23.40037015186296,23.91909707097469,695334,VBL.NS,2016-12-19,2016-51,2016-12,-0.11239433288574219,down
2016-12-20,23.40325164794922,23.89027839304296,23.342734124453234,23.861461054744062,368735,VBL.NS,2016-12-20,2016-51,2016-12,-0.28529930114746094,down
2016-12-21,22.919105529785156,23.460887806181407,22.80383246819696,23.460887806181407,591232,VBL.NS,2016-12-21,2016-51,2016-12,-0.4841461181640625,down
2016-12-22,22.135251998901367,23.05455181832869,20.858605306376436,22.94216160008552,858650,VBL.NS,2016-12-22,2016-51,2016-12,-0.7838535308837891,down
