Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,VIJAYA.NS,VIJAYA.NS,VIJAYA.NS,VIJAYA.NS,VIJAYA.NS,,,,,,
Date,,,,,,,,,,,
2021-09-14,616.5551147460938,644.2956460011981,529.4559128019105,536.9130383343318,22194857,VIJAYA.NS,2021-09-14,2021-37,2021-09,,no change
2021-09-15,636.8385620117188,654.2385227224215,587.8203991182457,614.9643256896925,7226253,VIJAYA.NS,2021-09-15,2021-37,2021-09,20.283447265625,up
2021-09-16,640.3682250976562,668.1584588492449,632.3642556966068,640.2688210300632,1756036,VIJAYA.NS,2021-09-16,2021-37,2021-09,3.5296630859375,up
2021-09-17,623.4157104492188,645.5882187952515,589.1129321230655,640.3682307890977,1823087,VIJAYA.NS,2021-09-17,2021-37,2021-09,-16.9525146484375,down
2021-09-20,581.1586303710938,614.2682544893757,572.2597820630649,609.9928481311651,873363,VIJAYA.NS,2021-09-20,2021-38,2021-09,-42.257080078125,down
2021-09-21,572.1107177734375,590.703769621435,532.0410464437543,580.1643893928243,1333438,VIJAYA.NS,2021-09-21,2021-38,2021-09,-9.04791259765625,down
2021-09-22,575.391845703125,611.3849187961106,571.0169742406366,576.6844020532366,1007133,VIJAYA.NS,2021-09-22,2021-38,2021-09,3.2811279296875,up
2021-09-23,576.0380249023438,596.5700000105351,573.7014833434646,582.6500333436226,480924,VIJAYA.NS,2021-09-23,2021-38,2021-09,0.64617919921875,up
2021-09-24,576.435791015625,587.6214790689684,565.2501029622817,581.6557787738519,378162,VIJAYA.NS,2021-09-24,2021-38,2021-09,0.39776611328125,up
2021-09-27,574.9940795898438,582.3518010436259,570.1221273288197,577.7780609798922,428695,VIJAYA.NS,2021-09-27,2021-39,2021-09,-1.44171142578125,down
2021-09-28,574.844970703125,577.5792500470301,567.0398096187777,571.7129537256094,503432,VIJAYA.NS,2021-09-28,2021-39,2021-09,-0.14910888671875,down
2021-09-29,562.3170166015625,571.7130077355088,547.4027642258535,571.7130077355088,262342,VIJAYA.NS,2021-09-29,2021-39,2021-09,-12.5279541015625,down
2021-09-30,566.6918334960938,568.5809355361104,559.2844100611466,559.2844100611466,170329,VIJAYA.NS,2021-09-30,2021-39,2021-09,4.37481689453125,up
2021-10-01,548.1484375,568.7301164384297,546.8558811907978,558.9861510562788,292272,VIJAYA.NS,2021-10-01,2021-39,2021-10,-18.54339599609375,down
2021-10-04,548.4467163085938,557.9421716243924,544.569047339133,548.8941559898282,202460,VIJAYA.NS,2021-10-04,2021-40,2021-10,0.29827880859375,up
2021-10-05,577.3804321289062,582.0038139244267,548.4965090142915,548.4965090142915,498976,VIJAYA.NS,2021-10-05,2021-40,2021-10,28.9337158203125,up
2021-10-06,576.0380249023438,577.3306417846908,572.8066040689533,572.8066040689533,142636,VIJAYA.NS,2021-10-06,2021-40,2021-10,-1.3424072265625,down
2021-10-07,569.5255737304688,578.3250190719128,565.3495709147197,574.6958600410985,90526,VIJAYA.NS,2021-10-07,2021-40,2021-10,-6.512451171875,down
2021-10-08,578.1758422851562,583.4455325797405,562.9136151768914,564.7530153361457,542408,VIJAYA.NS,2021-10-08,2021-40,2021-10,8.6502685546875,up
2021-10-11,564.1564331054688,582.5009135359089,560.775845225005,577.6786632548367,137082,VIJAYA.NS,2021-10-11,2021-41,2021-10,-14.0194091796875,down
2021-10-12,561.4718627929688,570.1221407363178,558.0415728360595,558.0415728360595,96581,VIJAYA.NS,2021-10-12,2021-41,2021-10,-2.6845703125,down
2021-10-13,556.5501708984375,566.6421723674323,538.9016393514125,559.7815921676112,235075,VIJAYA.NS,2021-10-13,2021-41,2021-10,-4.92169189453125,down
2021-10-14,559.1849975585938,562.416418545744,556.7986931705093,556.7986931705093,1003444,VIJAYA.NS,2021-10-14,2021-41,2021-10,2.63482666015625,up
2021-10-18,571.6632690429688,572.4089816139389,561.7701367975158,561.7701367975158,534218,VIJAYA.NS,2021-10-18,2021-42,2021-10,12.478271484375,up
2021-10-19,558.0415649414062,571.6632598219908,554.8598458860062,571.6632598219908,155138,VIJAYA.NS,2021-10-19,2021-42,2021-10,-13.6217041015625,down
2021-10-20,581.0592651367188,626.3985656112236,545.5136322468755,556.7987249877543,973120,VIJAYA.NS,2021-10-20,2021-42,2021-10,23.0177001953125,up
2021-10-21,569.0780639648438,583.6443396461826,567.7358056864912,581.0592271522293,432567,VIJAYA.NS,2021-10-21,2021-42,2021-10,-11.981201171875,down
2021-10-22,570.6193237304688,576.1872870443182,567.7358773120029,570.669025768115,91127,VIJAYA.NS,2021-10-22,2021-42,2021-10,1.541259765625,up
2021-10-25,565.7472534179688,596.5700387535699,557.7929862345878,577.1318104614312,218191,VIJAYA.NS,2021-10-25,2021-43,2021-10,-4.8720703125,down
2021-10-26,565.8466796875,571.6135721707423,550.485049135788,565.2501338998346,452600,VIJAYA.NS,2021-10-26,2021-43,2021-10,0.09942626953125,up
2021-10-27,565.2998046875,573.7015114024796,556.798693908819,559.7815440547591,75036,VIJAYA.NS,2021-10-27,2021-43,2021-10,-0.546875,down
2021-10-28,565.995849609375,571.7129794034091,557.9421780001034,563.4604389684002,293756,VIJAYA.NS,2021-10-28,2021-43,2021-10,0.696044921875,up
2021-10-29,561.2730102539062,565.6975837651677,546.8559001588104,558.9364684095443,205433,VIJAYA.NS,2021-10-29,2021-43,2021-10,-4.72283935546875,down
2021-11-01,566.2941284179688,569.0781099486234,556.7987335807603,556.7987335807603,120429,VIJAYA.NS,2021-11-01,2021-44,2021-11,5.0211181640625,up
2021-11-02,565.8466796875,570.7186928029992,558.0415789820266,562.3666876582134,84285,VIJAYA.NS,2021-11-02,2021-44,2021-11,-0.44744873046875,down
2021-11-03,561.670654296875,565.4986206854824,558.9363752518024,559.8808958274751,36302,VIJAYA.NS,2021-11-03,2021-44,2021-11,-4.176025390625,down
2021-11-04,561.670654296875,561.670654296875,561.670654296875,561.670654296875,0,VIJAYA.NS,2021-11-04,2021-44,2021-11,0.0,no change
2021-11-08,561.2730102539062,579.1204104054294,557.3952805055545,557.3952805055545,216811,VIJAYA.NS,2021-11-08,2021-45,2021-11,-0.39764404296875,down
2021-11-09,566.7415161132812,571.6135288596284,540.5421738095582,556.8980865589228,295703,VIJAYA.NS,2021-11-09,2021-45,2021-11,5.468505859375,up
2021-11-10,560.77587890625,570.1221678291863,558.8370139961864,559.8809995058369,74802,VIJAYA.NS,2021-11-10,2021-45,2021-11,-5.96563720703125,down
2021-11-11,560.8255615234375,566.940428946616,552.8215919782674,559.7815760499362,66039,VIJAYA.NS,2021-11-11,2021-45,2021-11,0.0496826171875,up
2021-11-12,562.3170166015625,566.4433173666746,557.7930388515138,557.7930388515138,504239,VIJAYA.NS,2021-11-12,2021-45,2021-11,1.491455078125,up
2021-11-15,564.8524169921875,567.73586333969,560.2787372888184,562.3170062721406,333642,VIJAYA.NS,2021-11-15,2021-46,2021-11,2.535400390625,up
2021-11-16,586.677001953125,588.2678920595541,561.9193777414541,562.7644944922507,339325,VIJAYA.NS,2021-11-16,2021-46,2021-11,21.8245849609375,up
2021-11-17,580.8604125976562,599.503227573063,575.1432826718648,586.627244559466,198114,VIJAYA.NS,2021-11-17,2021-46,2021-11,-5.81658935546875,down
2021-11-18,567.73583984375,579.9158118894346,562.565553858537,576.6843907344571,328259,VIJAYA.NS,2021-11-18,2021-46,2021-11,-13.12457275390625,down
2021-11-22,571.911865234375,574.6958468187389,564.7033100623406,564.7530120986914,86304,VIJAYA.NS,2021-11-22,2021-47,2021-11,4.176025390625,up
2021-11-23,580.4627075195312,585.5335898892286,564.007327381482,564.007327381482,120040,VIJAYA.NS,2021-11-23,2021-47,2021-11,8.55084228515625,up
2021-11-24,564.8524169921875,585.732369934628,562.7644459724423,574.2981099899581,493263,VIJAYA.NS,2021-11-24,2021-47,2021-11,-15.61029052734375,down
2021-11-25,568.28271484375,575.6901389589691,561.7701701413083,563.7587371152599,50920,VIJAYA.NS,2021-11-25,2021-47,2021-11,3.4302978515625,up
2021-11-26,581.6558227539062,598.558641534789,563.7587205153245,563.7587205153245,334525,VIJAYA.NS,2021-11-26,2021-47,2021-11,13.37310791015625,up
2021-11-29,568.77978515625,588.4665835887271,566.2443747201244,572.707216573822,192879,VIJAYA.NS,2021-11-29,2021-48,2021-11,-12.87603759765625,down
2021-11-30,573.2044067382812,579.2695114856451,566.9404331644268,566.9404331644268,93872,VIJAYA.NS,2021-11-30,2021-48,2021-11,4.42462158203125,up
2021-12-01,572.4586791992188,580.2637797735512,569.7243997935777,576.6843837352095,47242,VIJAYA.NS,2021-12-01,2021-48,2021-12,-0.7457275390625,down
2021-12-02,587.5220947265625,595.1780284799553,569.8238013746453,569.8238013746453,130244,VIJAYA.NS,2021-12-02,2021-48,2021-12,15.06341552734375,up
2021-12-03,581.4072265625,596.0232048912301,577.032355264702,587.5220938354743,72862,VIJAYA.NS,2021-12-03,2021-48,2021-12,-6.1148681640625,down
2021-12-06,586.2792358398438,592.4437444208503,577.3803872004161,580.661510309781,106346,VIJAYA.NS,2021-12-06,2021-49,2021-12,4.87200927734375,up
2021-12-07,576.3861083984375,591.5986325261468,570.9672516439324,586.6272154460952,86672,VIJAYA.NS,2021-12-07,2021-49,2021-12,-9.89312744140625,down
2021-12-08,568.0838623046875,577.6787225037331,565.896487119594,575.6901554727392,80094,VIJAYA.NS,2021-12-08,2021-49,2021-12,-8.30224609375,down
2021-12-09,567.4872436523438,572.4586605919175,564.0072517946421,568.7300978872372,51355,VIJAYA.NS,2021-12-09,2021-49,2021-12,-0.59661865234375,down
2021-12-10,570.6193237304688,573.1547345129136,564.007314194805,565.2998706048505,72274,VIJAYA.NS,2021-12-10,2021-49,2021-12,3.132080078125,up
2021-12-13,566.9404296875,573.1547011881823,564.7529939820108,569.7244111825567,97800,VIJAYA.NS,2021-12-13,2021-50,2021-12,-3.67889404296875,down
2021-12-14,567.5369873046875,568.8295436665177,564.0072931559893,566.7415726732726,36515,VIJAYA.NS,2021-12-14,2021-50,2021-12,0.5965576171875,up
2021-12-15,566.8409423828125,573.70152212115,565.1507091508605,572.9061075379533,27321,VIJAYA.NS,2021-12-15,2021-50,2021-12,-0.696044921875,down
2021-12-16,564.1564331054688,578.5735426015017,562.0186994919044,567.7358291196416,73247,VIJAYA.NS,2021-12-16,2021-50,2021-12,-2.68450927734375,down
2021-12-17,538.1559448242188,563.7587449705903,536.9130904481813,563.7587449705903,90386,VIJAYA.NS,2021-12-17,2021-50,2021-12,-26.00048828125,down
2021-12-20,507.9296875,540.9398785992491,502.31199228627673,522.9930751353696,103361,VIJAYA.NS,2021-12-20,2021-51,2021-12,-30.22625732421875,down
2021-12-21,545.1159057617188,555.8044529335172,508.47655427162704,521.0045319090572,72614,VIJAYA.NS,2021-12-21,2021-51,2021-12,37.18621826171875,up
2021-12-22,544.9170532226562,546.8559181606573,535.0239203841365,535.0239203841365,43692,VIJAYA.NS,2021-12-22,2021-51,2021-12,-0.1988525390625,down
2021-12-23,539.5479125976562,551.8272883430449,532.9856057299393,547.7507506676204,32973,VIJAYA.NS,2021-12-23,2021-51,2021-12,-5.369140625,down
2021-12-24,529.803955078125,538.4542339327775,528.9091363122131,534.9245395359152,20491,VIJAYA.NS,2021-12-24,2021-51,2021-12,-9.74395751953125,down
2021-12-27,533.43310546875,536.1673851333148,529.9531131683947,529.9531131683947,16233,VIJAYA.NS,2021-12-27,2021-52,2021-12,3.629150390625,up
2021-12-28,552.3244018554688,554.0643977209,532.2895680447214,533.930159849481,67961,VIJAYA.NS,2021-12-28,2021-52,2021-12,18.89129638671875,up
2021-12-29,562.0186767578125,571.7129396474872,546.8558553149878,555.207859925204,177515,VIJAYA.NS,2021-12-29,2021-52,2021-12,9.69427490234375,up
2021-12-30,575.3421020507812,577.6786437190381,551.8272758417662,561.7701096407169,98724,VIJAYA.NS,2021-12-30,2021-52,2021-12,13.32342529296875,up
2021-12-31,579.1701049804688,583.5449763998837,564.1564492803659,569.9729831417231,130309,VIJAYA.NS,2021-12-31,2021-52,2021-12,3.8280029296875,up
2022-01-03,595.3271484375,597.564285947286,567.0894773728165,588.3671650737213,154369,VIJAYA.NS,2022-01-03,2022-01,2022-01,16.15704345703125,up
2022-01-04,576.4855346679688,594.5318036380772,574.6958365874715,592.592938764936,34467,VIJAYA.NS,2022-01-04,2022-01,2022-01,-18.84161376953125,down
2022-01-05,565.3992919921875,581.6558016615644,561.9690020502679,581.6558016615644,35319,VIJAYA.NS,2022-01-05,2022-01,2022-01,-11.08624267578125,down
2022-01-06,565.5980834960938,596.5700354440614,562.0683895902981,576.6843675959261,71391,VIJAYA.NS,2022-01-06,2022-01,2022-01,0.19879150390625,up
