Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,VIPIND.NS,VIPIND.NS,VIPIND.NS,VIPIND.NS,VIPIND.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,83.66795349121094,85.34878579236336,82.40733282748857,83.94809458283098,307053,VIPIND.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,84.18152618408203,84.97524961829755,82.54738676834555,83.85469972579122,267617,VIPIND.NS,2015-08-19,2015-33,2015-08,0.5135726928710938,up
2015-08-20,82.78084564208984,85.44215731389549,81.7069810378782,83.6679471579306,406826,VIPIND.NS,2015-08-20,2015-33,2015-08,-1.4006805419921875,down
2015-08-21,82.59408569335938,83.76132832398505,81.24008709154705,81.28677964648553,367415,VIPIND.NS,2015-08-21,2015-33,2015-08,-0.18675994873046875,down
2015-08-24,78.99896240234375,79.6059298613335,77.59827155434375,79.27910342165657,418044,VIPIND.NS,2015-08-24,2015-34,2015-08,-3.595123291015625,down
2015-08-25,74.98367309570312,80.6331234287073,71.06173339108098,80.6331234287073,482750,VIPIND.NS,2015-08-25,2015-34,2015-08,-4.015289306640625,down
2015-08-26,75.5439224243164,77.13136908880752,74.93695500873514,75.63730038264855,387646,VIPIND.NS,2015-08-26,2015-34,2015-08,0.5602493286132812,up
2015-08-27,76.43104553222656,77.92511466486934,75.82407794338567,76.57111607184886,177164,VIPIND.NS,2015-08-27,2015-34,2015-08,0.8871231079101562,up
2015-08-28,76.29096984863281,78.25194302255778,75.63731687351323,77.41152696577325,161265,VIPIND.NS,2015-08-28,2015-34,2015-08,-0.14007568359375,down
2015-08-31,74.98367309570312,76.3843643207216,74.70353200098583,76.3843643207216,102418,VIPIND.NS,2015-08-31,2015-35,2015-08,-1.3072967529296875,down
2015-09-01,71.8554458618164,74.65682787786045,71.43524140912295,74.65682787786045,150838,VIPIND.NS,2015-09-01,2015-35,2015-09,-3.1282272338867188,down
2015-09-02,71.76206970214844,73.06938276757508,71.15510215845573,72.64917830424794,110783,VIPIND.NS,2015-09-02,2015-35,2015-09,-0.09337615966796875,down
2015-09-03,71.66870880126953,73.30284874136363,71.15511911324035,71.90215736414012,95592,VIPIND.NS,2015-09-03,2015-35,2015-09,-0.09336090087890625,down
2015-09-04,70.64151763916016,72.36903511709885,69.10075611181051,71.9955160916379,166677,VIPIND.NS,2015-09-04,2015-35,2015-09,-1.027191162109375,down
2015-09-07,67.7934341430664,70.50143781512631,66.85964026472035,70.50143781512631,197524,VIPIND.NS,2015-09-07,2015-36,2015-09,-2.84808349609375,down
2015-09-08,67.51329803466797,68.5871552600379,66.11260726319587,68.5871552600379,153072,VIPIND.NS,2015-09-08,2015-36,2015-09,-0.2801361083984375,down
2015-09-09,67.98021697998047,69.56766418550663,67.70007588522456,68.9140111301215,187834,VIPIND.NS,2015-09-09,2015-36,2015-09,0.4669189453125,up
2015-09-10,67.98021697998047,68.16697296029508,66.11262867969842,67.04642282983944,117388,VIPIND.NS,2015-09-10,2015-36,2015-09,0.0,no change
2015-09-11,68.82061767578125,69.28751469427172,68.16696469960785,68.63386171809832,129139,VIPIND.NS,2015-09-11,2015-36,2015-09,0.8404006958007812,up
2015-09-14,73.72303009033203,75.31048409255291,68.4470999302108,69.28750879248258,1043263,VIPIND.NS,2015-09-14,2015-37,2015-09,4.902412414550781,up
2015-09-15,73.39620971679688,75.7306948039996,72.13558919456402,74.47007428176674,501771,VIPIND.NS,2015-09-15,2015-37,2015-09,-0.32682037353515625,down
2015-09-16,73.81641387939453,74.32999627233079,71.90213345079673,73.81641387939453,187128,VIPIND.NS,2015-09-16,2015-37,2015-09,0.42020416259765625,up
2015-09-18,74.18993377685547,75.26379834986257,73.67635132839689,74.14324834933187,111540,VIPIND.NS,2015-09-18,2015-37,2015-09,0.3735198974609375,up
2015-09-21,73.90979766845703,75.26379613969421,72.69586259996078,73.76972714143317,105610,VIPIND.NS,2015-09-21,2015-38,2015-09,-0.2801361083984375,down
2015-09-22,72.04222106933594,75.0303595399377,70.87497836608773,74.51677702507895,157044,VIPIND.NS,2015-09-22,2015-38,2015-09,-1.8675765991210938,down
